company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DIRECTV NOW (AT&T),Video Streaming Service,No,N/A,,,,, , , , , , , , , , , , , , , , , , , ,70,69,
Showtime,Video Streaming Service,No,N/A,,,,, , , , , , , , , , , , , , , , , , , ,70,71,
Sony Crackle,Video Streaming Service,No,N/A,,,,, , , , , , , , , , , , , , , , , , , ,68,68,
Ram (Fiat Chrysler),Automobiles and Light Vehicles,Yes,RAM,,,,,,,,,,,,,,,,,,,,,,,,80,80,
Costco,Internet Retail,Yes,COST, , , , , ,,,,,,,,,,,,,,,,,,,83,81,
Etsy,Internet Retail,Yes,ETSY, , , , , ,,,,,,,,,,,,,,,,,,,81,82,
Kohl's,Internet Retail,Yes,KSS, , , , , ,,,,,,,,,,,,,,,,,,,81,81,
Nike,Internet Retail,Yes,NKE, , , , , ,,,,,,,,,,,,,,,,,,,81,81,
Nordstrom,Internet Retail,Yes,JWN, , , , , ,,,,,,,,,,,,,,,,,,,81,82,
Apple,Internet Retail,Yes,AAPL, , , , , ,,,,,,,,,,,,,,,,,,,80,78,
HP Store,Internet Retail,Yes,HPQ, , , , , ,,,,,,,,,,,,,,,,,,,80,81,
Macy's,Internet Retail,Yes,M, , , , , ,,,,,,,,,,,,,,,,,,,80,80,
TD Ameritrade,Financial Advisors,Yes,AMTD, , , ,,,,,,,,,,,,,,,,,,,,,,77,
LongHorn Steakhouse,Full-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,,,,81,82,77,81,81,
LG,Household Appliances,Yes,066570.KS,,,,,,,,,,,,,,,,,,,,,82,85,83,82,82,
Bosch,Household Appliances,No,N/A,,,,,,,,,,,,,,,,,,,,,79,84,82,83,80,
Amazon,Personal Computers and Internet Retail,Yes,AMZN,,,,,,,,,,,,,,,,,,,,,78,80,79,82,79,
Samsung,Personal Computers and Household Appliances,Yes,005930.KS,,,,,,,,,,,,,,,,,,,,,78,83,82,82,81,
ASUS,Personal Computers,Yes,2357.TW,,,,,,,,,,,,,,,,,,,,,77,78,80,78,76,
Lenovo,Personal Computers,Yes,0992.HK,,,,,,,,,,,,,,,,,,,,,74,76,76,77,74,
Regions Bank,Banks,Yes,RF,,,,,,,,,,,,,,,,,,,,,79,78,81,79,78,
BB&T,Banks,Yes,BBT,,,,,,,,,,,,,,,,,,,,,77,82,80,79,80,
Capital One,Banks,Yes,COF,,,,,,,,,,,,,,,,,,,,,77,80,80,81,79,
U.S. Bank,Banks,Yes,USB,,,,,,,,,,,,,,,,,,,,,76,77,80,79,79,
Fifth Third Bank,Banks,Yes,FITB,,,,,,,,,,,,,,,,,,,,,75,81,76,75,78,
TD Bank,Banks,Yes,TD,,,,,,,,,,,,,,,,,,,,,75,79,80,80,77,
SunTrust Bank,Banks,Yes,STI,,,,,,,,,,,,,,,,,,,,,74,80,80,81,76,
Citizens Bank,Banks,Yes,CFG,,,,,,,,,,,,,,,,,,,,,70,80,77,78,78,
Humana,Health Insurance,Yes,HUM,,,,,,,,,,,,,,,,,,,,,71,72,79,78,79,
Kaiser Permanente,Health Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,71,74,79,78,77,
Samsung,Household Appliances,Yes,005930.KS,,,,,,,,,,,,,,,,,,,,,81,84,78,80,80,
Fiat (Fiat Chrysler),Automobiles and Light Vehicles,Yes,FCAU,,,,,,,,,,,,,,,,,,,,,73,,75,78,77,
MINI (BMW),Automobiles and Light Vehicles,No,N/A,,,,,,,,,,,,,,,,,,,,,76,,,80,,
Cracker Barrel,Full-Service Restaurants,Yes,CBRL, , , ,,,,,,,,,,,,,,,,,,80,83,84,81,82,
Red Robin,Full-Service Restaurants,Yes,RRGB, , , ,,,,,,,,,,,,,,,,,,77,80,73,79,79,
TGI Fridays,Full-Service Restaurants,No,N/A, , , ,,,,,,,,,,,,,,,,,,76,78,76,79,78,
Denny's,Full-Service Restaurants,Yes,DENN, , , ,,,,,,,,,,,,,,,,,,75,74,76,77,77,
Ruby Tuesday,Full-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,,,,73,78,78,78,78,
Chick-fil-A,Limited-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,,,,86,87,87,87,86,
Chipotle Mexican Grill,Limited-Service Restaurants,Yes,CMG,,,,,,,,,,,,,,,,,,,,,83,78,79,79,80,
Panera Bread,Limited-Service Restaurants,Yes,PNRA (previously),,,,,,,,,,,,,,,,,,,,,80,81,82,81,81,
Arby's (Inspire Brands),Limited-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,,,,74,80,80,79,80,
Jack in the Box,Limited-Service Restaurants,Yes,JACK,,,,,,,,,,,,,,,,,,,,,72,74,75,74,75,
About.com,Internet Search Engines,No,N/A,,,,,,,,,,,,,,,,,,,,,71,69,, , ,
Answers.com,Internet Search Engines,No,N/A,,,,,,,,,,,,,,,,,,,,,67,69,68,69,71,
Instagram (Facebook),Internet Social Media,Yes,FB,,,,,,,,,,,,,,,,,,,,,76,74,75,72,72,
Tumblr (Verizon Media),Internet Social Media,No,N/A,,,,,,,,,,,,,,,,,,,,,69,67,68,68,64,
Infiniti (Nissan),Automobiles and Light Vehicles,Yes,7201.T,,,,,,,,,,,,,,,,,,,,,77,84,,78,82,
Mitsubishi,Automobiles and Light Vehicles,Yes,7211.T,,,,,,,,,,,,,,,,,,,,,77,79,78,79,76,
Cigna,Health Insurance,Yes,CI,,,,,,,,,,,,,,,,,,,,,60,67,66,73,72,
Thrivent Financial,Life Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,82,81,83,,,
Primerica,Life Insurance,Yes,PRI,,,,,,,,,,,,,,,,,,,,,81,75,74,78,,
Albertsons Companies,Health and Personal Care Stores,Yes,ACI,,,,,,,,,,,,,,,,,,,,,69,83,78,78,75,
Petco,Specialty Retail Stores,Yes,WOOF,,,,,,,,,,,,,,,,,,,,,76,78,77,78,77,
Burlington,Specialty Retail Stores,Yes,BURL, , , ,,,,,,,,,,,,,,,,,,76,79,77,76,76,
L Brands,Specialty Retail Stores,Yes,LB, , , , , ,,,,,,,,,,,,,,,83,81,81,85,82,82,
AutoZone,Specialty Retail Stores,Yes,AZO, , , , , ,,,,,,,,,,,,,,,,75,80,78,78,77,
Advance Auto Parts,Specialty Retail Stores,Yes,AAP, , , , , ,,,,,,,,,,,,,,,,72,79,79,78,78,
Abercrombie & Fitch,Specialty Retail Stores,Yes,ANF,,,,,,,,,,,,,,,,,,,,,65,76,79,78,79,
Hy-Vee,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,,78,79,81,79,78,
Toys R Us,Specialty Retail Stores,No,N/A,,,,, ,,,,,,,,,,,,,,,,75,77,78,, ,
Windstream,Internet Service Providers,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,,59,57,56,57,
Suddenlink (Altice USA),Internet Service Providers,No,N/A,,,,,,,,,,,,,,,,,,,,,,61,66,61,60,
U.S. Cellular,Wireless Telephone Service,Yes,USM,,,,,,,,,,,,,,,,,,,,,,72,74,74,74,
Johnson & Johnson,Personal Care and Cleaning Products,Yes,JNJ,,,,,,,,,,,,,,,,,,,,,,82,81,82,77,
Ascena,Specialty Retail Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,,78,79,80,80,
Dick's Sporting Goods,Specialty Retail Stores,Yes,DKS,,,,,,,,,,,,,,,,,,,,,,79,78,75,76,
Ahold Delhaize,Supermarkets,Yes,AD,,,,, , , , , , , , , , , , , , , , , ,76,79,78,77,
Kmart (Sears),Health and Personal Care Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,76,84,80,76,75,
Ross Stores,Department and Discount Stores,Yes,ROST,,,,,,,,,,,,,,,,,,,,,74,76,76,77,76,
Belk,Department and Discount Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,77,80,77,78,78,
Allstate,Life Insurance,Yes,ALL,,,,,,,,,,,,,,,,,,,,,77,82,79,75,81,
Mutual of Omaha,Life Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,76,81,80,83,82,
State Farm,Life Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,76,79,79,77,80,
Lincoln Financial,Life Insurance,Yes,LNC,,,,,,,,,,,,,,,,,,,,,75,76,76,78,78,
Farmers,Life Insurance,Yes,FMNB,,,,,,,,,,,,,,,,,,,,,71,80,77,74,81,
Farm Bureau,Property and Casualty Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,80,74,80,80,,
AAA,Property and Casualty Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,75,81,82,81,76,
Nationwide,Property and Casualty Insurance,Yes,NFS,,,,,,,,,,,,,,,,,,,,,75,79,76,80,,
American Family,Property and Casualty Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,73,77,79,78,77,
Liberty Mutual,Property and Casualty Insurance,No,N/A,,,,,,,,,,,,,,,,,,,,,73,77,80,76,78,
Travelers,Property and Casualty Insurance,Yes,TRV,,,,,,,,,,,,,,,,,,,,,73,77,80,78,,
Vanguard,Internet Investment Services,Yes,N/A,,,,,,,,,,,,,,,,,,,,,80,81,82,79,81,
Scottrade (TD Ameritrade),Internet Investment Services,Yes,AMTD,,,,,,,,,,,,,,,,,,,,,79,83,77,, ,
Edward Jones,Internet Investment Services,No,N/A,,,,,,,,,,,,,,,,,,,,,78,81,80,81,80,
Merrill Edge (Bank of America),Internet Investment Services,Yes,BAC,,,,,,,,,,,,,,,,,,,,,73,79,77,79,74,
Fred Meyer (Kroger),Department and Discount Stores,No,N/A,,,,,,,,,,,,,,,,,,,,,79,81,80,76,74,
Verizon Communications,Fixed-Line Telephone Service,Yes,VZ, ,,,, , ,73,71,73,73,70,69,72,70,71,73,71,70,74,73,68,72,73,72,73,
Time Warner,Motion Pictures,No,N/A,77,,,,,,,,,,,,,,,,,,,,,,,,,
Cox Communications,Subscription Television Service,No,N/A, , , , ,,,,,,63,63,63,63,63,66,67,67,63,65,63,62,59,61,60,59,
DIRECTV (AT&T),Subscription Television Service,Yes,T, , , , , , ,70,70,72,71,67,71,67,68,71,68,69,68,72,69,68,68,68,64,66,
DISH Network,Subscription Television Service,Yes,DISH, , , , , , ,71,68,71,71,68,68,67,65,64,71,67,69,70,67,67,67,67,67,67,
Time Warner Cable (Charter Communications),Subscription Television Service,Yes,CHTR, , , , , , ,63,61,61,60,61,61,58,59,59,61,59,63,60,56,51,59,60,, ,
Fios (Verizon Communications),Subscription Television Service,No,N/A, , , , , , ,,,,,,,,,,73,72,74,73,68,71,70,71,68,68,
AT&T,Wireless Telephone Service,Yes,T, , , , , , , , , ,63,62,63,68,71,67,69,66,69,70,68,70,71,72,74,74,
AT&T Wireless,Wireless Telephone Service,No,N/A, , , , , , , , , ,61,, , , , , , , , , , , , , , ,
Nextel Communications,Wireless Telephone Service,No,N/A, , , , , , , , , ,,59,, , , , , , , , , , , , , ,
T-Mobile,Wireless Telephone Service,Yes,TMUS, , , , , , , , , ,,64,69,70,71,71,73,70,69,68,69,70,74,73,76,76,
Verizon Wireless,Wireless Telephone Service,No,N/A, , , , , , , , , ,68,67,69,71,72,74,73,72,70,73,75,71,71,74,74,74,
Kyocera,Cellular Telephones,Yes,6971.T, , , , , , , , , ,70,,,,,,,,,,,,,,,,
Microsoft Mobile (Nokia),Cellular Telephones,No,N/A, , , , , , , , , ,72,70,69,72,74,74,76,73,75,76,77,75,74,80,#, ,
Samsung,Cellular Telephones,Yes,005930.KS,,,, , , , , , ,73,71,73,70,71,70,76,74,71,76,81,80,80,80,80,81,
Gateway,Personal Computers,No,N/A,,,,76,76,78,73,72,69,74,72,73,75,, , , , , , , , , , , ,
Xfinity (Comcast),Subscription Television Service,No,N/A,,,, , , ,64,56,55,56,58,60,56,54,59,61,59,61,63,60,54,62,58,57,57,
Spectrum (Charter Communications),Subscription Television Service,Yes,CHTR, ,,, , , ,63,53,55,56,56,55,55,54,51,60,59,59,64,60,63,60,63,58,59,
Universal Studios,Motion Pictures,Yes,CMCSA,74,,,,,,,,,,,,,,,,,,,,,,,,,
Walt Disney,Motion Pictures,Yes,DIS,80,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T Internet,Internet Service Providers,No,N/A, , , , , , , , , , , , , , , , , , ,65,65,69,64,69,68,69,
Bell Atlantic,Fixed-Line Telephone Service,No,N/A,81,81,72,71,73,71,, , , , , , , , , , , , , , , , , , ,
Ameritech,Fixed-Line Telephone Service,No,N/A,79,77,73,70,66,, , , , , , , , , , , , , , , , , , , ,
AT&T,Fixed-Line Telephone Service,Yes,T,83,83,80,81,79,75,73,73,76,76,72,71,70,75,71,75,71,70,73,72,65,70,71,72,72,
Dow Jones,Newspapers,No,N/A,76,,,,,,,,,,,,,,,,,,,,,,,,,
Gannett,Newspapers,Yes,GCI,66,,,,,,,,,,,,,,,,,,,,,,,,,
Knight-Ridder,Newspapers,No,N/A,70,,,,,,,,,,,,,,,,,,,,,,,,,
New York Times,Newspapers,Yes,NYT,70,,,,,,,,,,,,,,,,,,,,,,,,,
Times Mirror,Newspapers,No,N/A,67,,,,,,,,,,,,,,,,,,,,,,,,,
Tribune,Newspapers,No,N/A,70,,,,,,,,,,,,,,,,,,,,,,,,,
U-verse TV (AT&T),Subscription Television,Yes,T, ,,, , , ,,,,,,,,,,72,68,68,71,69,69,69,70,70,69,
AT&T Corp.,Subscription Television,No,N/A, ,,, , , ,62,56,, , , , , , , , , , , , , , , , ,
Chili's,Full-Service Restaurants,No,N/A, , , , , , , , , , , , ,75,73,74,78,79,76,78,74,74,75,77,78,78,
Olive Garden (Darden),Full-Service Restaurants,Yes,DRI, , , , , , , , , , , , ,80,82,81,84,82,80,83,80,79,81,81,80,79,
McDonald's,Limited-Service Restaurants,Yes,MCD,63,60,60,61,61,59,62,61,64,,62,63,64,69,70,67,72,73,73,71,67,69,69,69,69,
Papa John's,Limited-Service Restaurants,Yes,PZZA,,,,,76,77,78,76,76,,78,79,77,76,75,80,79,83,82,82,78,82,82,80,80,
Pizza Hut (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,63,71,71,68,70,71,70,75,,71,76,72,76,74,78,81,78,80,82,78,77,76,80,80,
Starbucks,Limited-Service Restaurants,Yes,SBUX,,,,,,,,,,,,77,78,77,76,78,80,76,80,76,74,75,77,78,79,
Taco Bell (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,66,67,64,64,63,66,67,68,,72,70,69,70,73,74,76,77,74,72,72,75,76,74,75,
Wendy's,Limited-Service Restaurants,Yes,WEN,73,71,69,73,71,70,72,74,74,,75,76,78,73,76,77,77,78,79,78,73,76,76,77,77,
American,Airlines,Yes,AAL,71,71,62,67,64,63,62,63,67,66,64,62,60,62,60,63,63,64,65,66,66,72,76,74,73,
Continental,Airlines,No,N/A,64,66,64,66,64,62,67,68,68,67,70,67,69,62,68,71,64,, , , , , , , ,
Delta,Airlines,Yes,DAL,72,67,69,65,68,66,61,66,67,67,65,64,59,60,64,62,56,65,68,71,71,71,76,74,75,
Northwest Airlines,Airlines,No,N/A,71,67,64,63,53,62,56,65,64,64,64,61,61,57,57,61,, , , , , , , , ,
Southwest,Airlines,Yes,LUV,76,76,76,74,72,70,70,74,75,73,74,74,76,79,81,79,81,77,81,78,78,80,80,80,79,
United,Airlines,Yes,UAL,67,70,68,65,62,62,59,64,63,64,61,63,56,56,56,60,61,62,62,60,60,68,70,67,70,
US Airways,Airlines,No,N/A,67,66,68,65,61,62,60,63,64,62,57,62,61,54,59,62,61,65,64,66,, , , , ,
Facebook,Internet Social Media,Yes,FB, , , , , , , , , , , , , , , ,64,66,61,62,67,75,68,68,67,63,
Little Caesars,Limited-Service Restaurants,No,N/A,69,69,73,71,,69,70,74,75,,74,77,75,75,75,78,80,82,82,80,74,81,78,77,77,
KFC (Yum! Brands),Limited-Service Restaurants,Yes,YUM,68,69,67,64,64,65,63,69,71,,69,70,71,70,69,75,75,75,81,74,73,78,78,77,78,
Outback Steakhouse,Full-Service Restaurants,Yes,BLMN, , , , , , , , , , , , ,79,76,77,80,81,81,81,80,78,77,80,79,79,
Red Lobster,Full-Service Restaurants,Yes,DRI, , , , , , , , , , , , ,78,79,80,83,82,83,83,78,77,79,81,79,78,
Best Western,Hotels,Yes,BW,70,,,,,,,,,,,,,70,75,76,76,76,79,74,74,75,76,77,77,
Choice,Hotels,Yes,CHH,,,,,,,,,,,,,,71,76,74,74,76,75,74,73,74,74,73,74,
Hilton,Hotels,Yes,HLT,75,75,75,72,74,77,74,76,74,77,76,78,76,78,79,80,80,80,80,78,80,81,81,82,80,
Holiday Inn,Hotels,Yes,HLT,69,,,69,68,71,71,69,72,73,69,72,72,, , , , , , , , , , , ,
Hyatt,Hotels,Yes,H,75,77,77,75,73,74,73,75,77,74,74,75,77,78,74,79,77,76,79,78,80,79,80,79,79,
InterContinental,Hotels,Yes,IHG,,,,,,,,,,,,,,74,75,78,76,77,78,78,76,76,78,77,78,
Marriott,Hotels,Yes,MAR,76,77,76,76,77,74,77,76,76,76,76,75,79,78,77,80,79,78,82,81,80,80,80,81,80,
Promus Hotel,Hotels,No,N/A,80,83,77,78,79,, , , , , , , , , , , , , , , , , , , ,
Ramada,Hotels,Yes,N/A,69,70,64,67,67,69,66,67,70,67,66,70,69,, , , , , , , , , , , ,
Starwood (Marriott),Hotels,Yes,HOT,,,,,,73,71,69,73,73,75,75,76,74,74,77,79,75,78,76,76,78,79,79,,
Wyndham,Hotels,Yes,WH,,,,,,,,,,,,,,70,70,70,73,70,72,72,68,70,71,70,70,
Burger King,Limited-Service Restaurants,Yes,BKW,65,67,68,64,66,67,65,68,68,,71,70,69,71,69,74,75,75,76,76,72,76,77,76,76,
Myspace,Internet Social Media,No,N/A, ,,, , , , , , , , , , , , ,63,,,,,,,,,,
Sony Pictures Entertainment,Motion Pictures,No,N/A,74,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Schwab,Internet Investment Services,Yes,SCHW, , , , , ,76,72,76,75,71,74,80,82,78,79,80,79,77,84,80,78,81,80,79,81,
Chevron,Gasoline Stations,Yes,CVX,81,78,77,81,76,76,,,,,,,,,,,,,,,,,,,,
Exxon,Gasoline Stations,Yes,XOM,80,79,78,80,, ,,,,,,,,,,,,,,,,,,,,
Exxon Mobil,Gasoline Stations,Yes,XOM, , , , ,77,75,,,,,,,,,,,,,,,,,,,,
Mobil,Gasoline Stations,No,N/A,79,78,78,82,, ,,,,,,,,,,,,,,,,,,,,
Phillips Petroleum,Gasoline Stations,No,N/A,81,79,82,,,,,,,,,,,,,,,,,,,,,,,
Shell Oil,Gasoline Stations,Yes,RDS.A,80,77,81,78,75,77,,,,,,,,,,,,,,,,,,,,
Texaco,Gasoline Stations,No,N/A,80,82,77,81,75,75,,,,,,,,,,,,,,,,,,,,
Unocal,Gasoline Stations,No,N/A,80,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes & Noble,Specialty Retail Stores,Yes,BKS, , , , , , ,,,,,,,83,83,84,82,79,82,82,81,79,81,81,81,81,
Best Buy,Specialty Retail Stores,Yes,BBY, , , , , , ,,,72,72,71,76,74,74,74,77,77,78,77,77,74,77,78,78,77,
Borders,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,81,79,81,80,, , , , , , , , ,
Circuit City Stores,Specialty Retail Stores,No,N/A, , , , , , ,,,73,72,70,69,71,72,, , , , , , , , , , ,
Costco,Department and Discount Stores,Yes,COST, , , , ,79,77,76,79,80,79,79,81,81,83,81,82,83,83,84,84,81,83,83,83,83,
Gap,Specialty Retail Stores,Yes,GPS, , , , , , ,,,,,,,75,75,75,74,77,76,77,75,75,79,77,78,79,
BP Amoco,Gasoline Stations,No,N/A,,,, ,76,76,,,,,,,,,,,,,,,,,,,,
BP,Gasoline Stations,Yes,BP,,,,81,, ,,,,,,,,,,,,,,,,,,,,
E*Trade,Internet Investment Services,Yes,ETFC, , , , , ,66,66,69,71,70,71,74,73,69,74,76,79,73,76,76,74,80,79,79,78,
Fidelity,Internet Investment Services,No,N/A, , , , , ,,,,,,,80,84,80,79,78,79,78,81,76,77,81,80,79,81,
TD Ameritrade,Internet Investment Services,Yes,AMTD, , , , , ,,,,,,,77,80,71,76,77,78,77,74,74,73,78,79,77,79,
1-800-FLOWERS.COM,Internet Retail,Yes,FLWS, , , , , ,69,76,78,76,79,77,77,,,,,,,,,,,,,,
Amazon,Internet Retail,Yes,AMZN, , , , , ,84,84,88,88,84,87,87,88,86,86,87,86,85,88,86,83,86,85,82,83,
barnesandnoble.com,Internet Retail,No,N/A, , , , , ,77,82,87,86,87,87,88,,,,,,,,,,,,,,
Buy.com,Internet Retail,No,N/A, , , , , ,78,78,80,80,80,80,81,,,,,,,,,,,,,,
eBay,Internet Retail,Yes,EBAY, , , , , ,80,82,82,84,80,81,80,81,78,79,81,81,83,80,79,75,81,81,80,79,
Egghead.com,Internet Retail,No,N/A, , , , , ,73,, , , , , , , , , , , , , , , , , , ,
Newegg,Internet Retail,No,N/A, , , , , ,,,,,,,,87,88,86,84,85,84,83,81,79,83,83,80,81,
Overstock,Internet Retail,Yes,OSTK, , , , , ,,,,,,,,80,82,82,83,83,81,79,77,73,79,81,80,79,
uBid.com,Internet Retail,No,N/A, , , , , ,67,69,70,73,73,73,74,,,,,,,,,,,,,,
Amoco,Gasoline Stations,No,N/A,81,80,79,83,,,,,,,,,,,,,,,,,,,,,,
Atlantic Richfield,Gasoline Stations,No,N/A,78,72,74,74,,,,,,,,,,,,,,,,,,,,,,
Home Depot,Specialty Retail Stores,Yes,HD, , , , , , ,75,71,73,73,67,70,67,70,72,75,78,77,79,76,73,80,76,76,78,
Lowe's,Specialty Retail Stores,Yes,LOW, , , , , , ,75,76,77,76,78,74,75,76,79,77,79,79,82,81,74,79,78,78,78,
Southeastern Grocers,Supermarkets,No,N/A,75,75,74,74,71,74,72,73,73,72,73,76,71,73,74,76,75,78,77,79,74,77,78,76,76,
Microsoft,Computer Software,Yes,MSFT, , , , , , , , , , , ,73,70,69,70,76,78,75,74,75,75,80,76,79,77,
BellSouth,Fixed-Line Telephone Service,No,N/A,83,83,78,78,76,75,74,74,74,73,70,71,, , , , , , , , , , , , ,
CenturyLink,Fixed-Line Telephone Service,Yes,CTL,83,80,76,76,74,70,71,74,73,65,66,64,66,70,68,70,70,66,71,71,70,68,66,66,65,
Xfinity (Comcast),Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,69,67,69,67,68,69,67,71,67,64,64,65,66,67,
Cox Communications,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,76,70,74,74,74,72,71,74,70,68,68,68,65,67,
GTE,Fixed-Line Telephone Service,No,N/A,72,72,68,65,63,69,, , , , , , , , , , , , , , , , , , ,
MCI,Fixed-Line Telephone Service,No,N/A,75,78,72,74,73,70,70,70,67,70,70,, , , , , , , , , , , , , ,
NYNEX,Fixed-Line Telephone Service,No,N/A,79,75,66,, , , , , , , , , , , , , , , , , , , , , ,
Pacific Telesis,Fixed-Line Telephone Service,No,N/A,78,80,72,, , , , , , , , , , , , , , , , , , , , , ,
Qwest Communications,Fixed-Line Telephone Service,No,N/A, , , , , , ,61,56,62,64,69,70,72,73,71,72,73,, , , , , , , ,
SBC Communications,Fixed-Line Telephone Service,No,N/A,80,77,71,71,71,70,66,67,67,68,71,, , , , , , , , , , , , , ,
US WEST,Fixed-Line Telephone Service,No,N/A,76,74,71,68,67,64,, , , , , , , , , , , , , , , , , , ,
Fox Entertainment,Motion Pictures,Yes,FOX,79,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Foods (Amazon),Supermarkets,Yes,WFM,,,,,,,,,,,,,73,75,76,79,80,80,78,81,73,81,81,79,79,
Walmart,Supermarkets,Yes,WMT,,,,,,,,,,70,70,69,71,68,71,71,69,72,72,71,67,74,73,72,73,
Office Depot,Specialty Retail Stores,Yes,ODP, , , , , , ,,,,,,,78,75,76,81,79,84,79,78,,79,77,77,76,
OfficeMax,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,76,74,77,74,78,78,82,, , , , , ,
Sam's Club (Walmart),Department and Discount Stores,Yes,WMT, ,75,72,75,78,74,78,77,77,75,76,78,77,79,79,78,81,80,80,80,76,81,80,80,81,
Staples,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,77,76,77,81,79,79,81,79,75,80,78,78,77,
TJX,Specialty Retail Stores,Yes,TJX, , , , , , ,,,,,,,74,73,78,76,78,76,79,78,78,80,80,79,79,
Albertsons Companies,Supermarkets,Yes,ACI,77,77,72,70,73,70,72,73,73,69,71,,,,,,,,,74,68,75,76,75,75,
American Stores,Supermarkets,No,N/A,73,74,68,, , , , , , , , , , , , , , , , , , , , , ,
"Delhaize America (Food Lion, Hannaford)",Supermarkets,No,N/A,76,73,73,73,71,73,,,,,,,,,,,,,,77,76,, , , ,
A&P,Supermarkets,No,N/A,67,68,,,,,,,,,,,,,,,,,,,70,, , , ,
Kroger,Supermarkets,Yes,KR,76,74,74,73,74,71,75,75,71,73,74,76,75,77,78,78,79,79,80,78,76,79,81,79,79,
Meijer,Supermarkets,No,N/A,79,77,,,,,,,,,,,,,,,,,,,74,78,79,78,78,
Publix,Supermarkets,No,N/A,82,80,79,79,82,77,81,81,82,81,81,83,83,82,86,84,84,86,86,82,82,84,86,84,83,
Safeway,Supermarkets,No,N/A,73,73,70,71,72,76,75,76,71,72,71,74,72,75,72,74,75,75,76,75,, , , , ,
Supervalu,Supermarkets,No,N/A,77,75,74,77,75,75,76,77,77,75,77,74,74,74,77,74,74,76,77,75,71,76,77,76,76,
Paramount Communications,Motion Pictures,No,N/A,79,,,,,,,,,,,,,,,,,,,,,,,,,
Wikipedia,Internet Social Media,No,N/A, ,,, , , , , , , , , , , , ,77,78,78,78,74,77,78,77,77,74,
Chase,Banks,Yes,JPM, ,,, , , , , , ,70,70,72,74,73,68,67,70,74,76,74,71,75,79,80,79,
HealthTrust EPIC,Hospitals,No,N/A,70,,,,,,,,,,,,,,,,,,,,,,,,,
HCA,Hospitals,Yes,HCA,73,,,,,,,,,,,,,,,,,,,,,,,,,
American Medical Holdings,Hospitals,No,N/A,73,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's,Full-Service Restaurants,No,N/A, ,,,,,,,,,,,,,,,,,77,82,78,78,79,79,78,77,
Apple,Cellular Telephones,Yes,AAPL, , , ,,,,,,,,,,,,,,,83,81,79,80,81,81,81,81,
HTC,Cellular Telephones,No,N/A, , , ,,,,,,,,,,,,,,,75,72,75,77,75,76,76,,
LG,Cellular Telephones,No,N/A,,,,,,,,,,,,,,,,,,75,71,73,74,74,74,77,78,
Subway,Limited-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,82,83,78,77,80,81,80,79,
Dunkin',Limited-Service Restaurants,Yes,DNKN,,,,,,,,,,,,,,,,,,79,80,75,78,80,79,78,78,
JetBlue,Airlines,Yes,JBLU,,,,,,,,,,,,,,,,,,81,83,79,81,80,82,79,79,
Google+,Internet Social Media,No,N/A, , , ,,,,,,,,,,,,,,,78,71,71,75,76,81,79,,
Pinterest,Internet Social Media,Yes,PINS, , , ,,,,,,,,,,,,,,,69,72,76,78,76,78,80,80,
Twitter,Internet Social Media,Yes,TWTR, , , ,,,,,,,,,,,,,,,64,65,69,71,65,70,66,69,
LinkedIn (Microsoft),Internet Social Media,Yes,MSFT, , , ,,,,,,,,,,,,,,,63,62,67,68,65,65,66,69,
Travelers Group,Life Insurance,Yes,TRV,, , , , , , , , , , , , , , , , , , , , , , , , ,
Prudential,Life Insurance,Yes,PRU,74,68,70,71,69,71,76,74,73,77,72,76,77,79,77,77,79,79,78,79,77,77,78,77,78,
