company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iberdrola,Investor-Owned Energy Utilities,Yes,IBE,,,,,,,73,73,71,70,73,74,70,75,73,72,,,,,,,,, , 
Reliant Energy,Investor-Owned Energy Utilities,No,N/A,,,68,73,73,75,67,74,70,68,69,69,65,72,69,72,,,,,,,,, , 
Energy Future Holdings,Investor-Owned Energy Utilities,No,N/A,74,77,70,76,74,76,71,75,74,74,72,65,63,68,72,73,,,,,,,,, , 
Long Island Power Authority,Municipal Energy Utilities,No,N/A, , , , , , , , , , , , , , , , ,65,58,43,, , , , , , 
Progress Energy,Investor-Owned Energy Utilities,No,N/A,,,,,,,76,77,75,78,75,77,77,77,75,73,78,76,, , , , , , , 
Unilever,Personal Care and Cleaning Products,Yes,UL,83,83,82,83,81,85,83,83,85,85,85,85,86,87,87,87,82,86,85,80,80,84,81,82,80,
Optimum (Altice USA),Internet Service Providers/Fixed-Line Phone,Yes,ATUS, , , , , , , ,,,,,,,,,,,,,,61,69,68,64,63,
Bright House Networks,Internet Service Providers,No,N/A, , , , , , , ,,,,,,,,,,,,,,63,67,, , ,
Optimum (Altice USA),Fixed-Line Telephone Service,Yes,ATUS,,,,,,,,,,,,,,,,,,,,,67,72,71,69,69,
Windstream,Fixed-Line Telephone Service,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,61,65,65,64,64,
Frontier Communications,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,,,59,67,61,57,61,
Vonage,Fixed-Line Telephone Service,Yes,VG,,,,,,,,,,,,,,,,,,,,,73,78,80,76,77,
Orbitz (Expedia),Internet Travel Services,No,N/A,,,,,,,,76,77,75,74,75,73,74,76,75,76,76,,77,75,77,78,81,81,
Spirit,Airlines,Yes,SAVE,,,,,,,,,,,,,,,,,,,,,54,62,61,62,63,
Allegiant,Airlines,Yes,ALGT,,,,,,,,,,,,,,,,,,,,,65,65,71,74,71,
Alaska,Airlines,Yes,ALK,,,,,,,,,,,,,,,,,,,,,75,77,78,79,80,
Frontier Communications,Internet Service Providers,No,N/A,,,,,,,,,,,,,,,,,,,,,61,56,56,54,55,
Mediacom,Internet Service Providers,Yes,MCCC,,,,,,,,,,,,,,,,,,,,,57,57,58,53,56,
Bright House Networks,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,,,73,72,, , ,
Mitsubishi Electric & Electronics,Televisions and Video Players,Yes,6503.T,82,83,81,83,,,,,,,,,,,,,,,,,,,,,,
Allstate,Property and Casualty Insurance,Yes,ALL,73,74,71,73,73,75,76,74,73,76,76,78,78,79,79,78,78,79,77,77,73,77,78,78,78,
Farmers,Property and Casualty Insurance,Yes,N/A,71,72,71,72,75,73,73,72,75,77,73,78,76,77,78,76,79,79,76,77,71,77,79,80,80,
GEICO,Property and Casualty Insurance,No,N/A,,,,,,,,,79,78,78,83,80,80,81,81,81,79,81,77,77,78,80,80,79,
Progressive,Property and Casualty Insurance,Yes,PGR,,,,,,,,,,75,75,73,79,79,80,79,79,81,78,76,74,77,78,78,78,
State Farm,Property and Casualty Insurance,No,N/A,79,77,78,78,78,79,79,77,78,81,79,81,81,80,82,82,82,81,79,81,78,77,79,81,81,
Expedia,Internet Travel Services,Yes,EXPE, , , , , , , ,80,78,76,79,78,75,77,79,79,77,76,,76,77,77,80,78,79,
Mediacom,Subscription Television Service,Yes,MCCC, , , ,,,,,,,,,,,,,,,,,,51,54,56,55,56,
Suddenlink (Altice USA),Subscription Television Service,Yes,ATUS, , , ,,,,,,,,,,,,,,,,,,57,62,63,58,55,
Bright House Networks,Subscription Television Service,No,N/A, , , ,,,,,,,,,,,,,,,,,,65,66,, , ,
Optimum (Altice USA),Subscription Television Service,No,N/A,,,,,,,,,,,,,,,,,,,,,67,66,66,62,61,
Frontier,Airlines,Yes,ULCC,,,,,,,,,,,,,,,,,,,,,58,66,63,62,64,
La Quinta (Wyndham),Hotels,Yes,LQ,,,,,,,,,,,,,,,,,,,,,76,75,75,76,74,
PetSmart,Specialty Retail Stores,Yes,PETM, , , ,,,,,,,,,,,,,,,,,80,77,78,79,79,78,
BJ's Wholesale Club,Department and Discount Stores,No,N/A, , , ,,,,,,,,,,,,,,,,,81,76,79,80,79,79,
Bed Bath & Beyond,Specialty Retail Stores,Yes,BBBY, , , ,,,,,,,,,,,,,,,,,81,75,79,80,79,80,
Walmart,Health and Personal Care Stores,Yes,WMT, , , ,,,,,,,,,,,,,,,,,68,68,76,75,73,74,
Target,Health and Personal Care Stores,Yes,TGT, ,,,,,,,,,,,,,,,,,,,78,80,79,, , ,
Kroger,Health and Personal Care Stores,Yes,KR, ,,,,,,,,,,,,,,,,,,,81,81,81,80,81,78,
Family Dollar,Department and Discount Stores,No,N/A,,,,,,,,,,,,,,,,,,,,75,, , , , ,
Dollar Tree,Department and Discount Stores,Yes,DLTR,,,,,,,,,,,,,,,,,,,,79,76,80,77,77,77,
Audi (Volkswagen),Automobiles and Light Vehicles,Yes,AUDVF,,,,,,,,,,,,,,,,,,,,79,78,83,82,83,82,
Domino's,Limited-Service Restaurants,Yes,DPZ,70,68,68,70,67,69,73,75,75,,71,75,75,75,77,77,77,77,81,80,75,78,78,79,79,
Travelocity (Expedia),Internet Travel Services,No,N/A, , , , , , , ,76,76,76,75,74,73,75,75,77,79,75,,74,75,78,77,80,77,
Menards,Specialty Retail Stores,No,N/A, , , ,,,,,,,,,,,,,,,,,78,78,79,80,80,80,
Big Lots,Department and Discount Stores,Yes,BIG, , , ,,,,,,,,,,,,,,,,,77,74,77,74,75,73,
G6 Hospitality (Motel 6),Hotels,No,N/A,,,,,,,,,,,,,,,,,,,,,63,65,65,65,64,
Target,Supermarkets,Yes,TGT,,,,,,,,,,,,,,,,,,,,81,71,78,79,78,79,
Giant Eagle,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,72,67,74,76,76,76,
"Ahold USA (Stop & Shop, Giant)",Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,72,70,, , , ,
ShopRite,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,77,75,79,79,79,80,
Aldi,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,81,81,83,84,84,83,
H-E-B,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,82,82,83,83,82,84,
Wegmans,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,85,86,83,84,85,84,
Trader Joe's,Supermarkets,No,N/A,,,,,,,,,,,,,,,,,,,,85,83,86,85,86,84,
Texas Roadhouse,Full-Service Restaurants,Yes,TXRH, , , ,,,,,,,,,,,,,,,,,,83,82,82,83,83,
GameStop,Specialty Retail Stores,Yes,GME, , , ,,,,,,,,,,,,,,,,,77,78,80,77,74,75,
Priceline,Internet Travel Services,Yes,PCLN, , , , , ,66,69,71,71,73,72,72,73,72,76,73,76,74,,75,75,81,77,78,76,
CBS Broadcasting,Network/Cable TV News,Yes,CBS,75,,,,,,,,,,,,,,,,,,,,,,,,,
Google,Internet Search Engines and Information,Yes,GOOGL, , , , ,,,,80,82,82,82,81,78,86,86,80,83,82,77,83,78,84,82,82,79,
MSN (Microsoft),Internet Search Engines and Information,No,N/A, , , , , ,71,67,72,74,75,75,74,75,75,75,75,78,78,74,73,74,75,72,76,72,
Yahoo! (Verizon Media),Internet Search Engines and Information,No,N/A, , , , , ,74,73,76,78,78,80,76,79,77,77,76,79,78,76,71,75,74,73,74,70,
BMW,Automobiles and Light Vehicles,Yes,BMWYY,81,81,80,86,86,84,86,86,85,84,86,85,86,87,87,86,83,86,82,80,82,85,82,82,82,
Cadillac (GM),Automobiles and Light Vehicles,Yes,GM,84,88,84,88,85,86,88,86,87,83,86,84,86,85,89,86,87,86,85,80,80,79,83,82,81,
Chevrolet (GM),Automobiles and Light Vehicles,Yes,GM,79,79,78,79,76,80,78,78,79,77,78,81,82,79,83,80,82,84,79,82,79,83,81,79,80,
Chrysler (Fiat Chrysler),Automobiles and Light Vehicles,No,N/A,82,80,80,80,79,80,78,80,82,80,80,80,79,80,84,80,76,78,83,81,74,79,79,74,71,
Dodge (Fiat Chrysler),Automobiles and Light Vehicles,Yes,N/A,77,77,77,78,75,81,77,78,78,75,78,78,80,78,81,78,79,81,79,78,76,78,75,77,74,
Ford,Automobiles and Light Vehicles,Yes,F,79,78,77,77,77,77,78,78,80,76,75,77,80,80,83,82,84,83,83,81,79,81,79,77,77,
GMC (GM),Automobiles and Light Vehicles,Yes,GM,,,80,78,81,81,79,81,83,80,81,82,82,83,82,84,83,80,85,82,78,84,84,80,78,
Honda,Automobiles and Light Vehicles,Yes,HMC,86,83,82,81,83,82,83,82,82,85,86,86,84,86,88,84,85,83,86,83,80,86,81,83,82,
Bing (Microsoft),Internet Search Engines and Information,No,N/A, , , , , ,,,,,,,,,,,77,82,81,76,73,72,75,73,73,72,
AOL (Verizon Media),Internet Search Engines and Information,No,N/A, , , , , ,56,58,59,65,67,71,74,67,69,70,74,75,74,71,70,74,69,70,68,74,
AltaVista,Internet Search Engines and Information,No,N/A, , , , , ,,,61,63,66,,,,,,,,,, , , , , , ,
NBC Television Network,Network/Cable TV News,No,N/A,74,,,,,,,,,,,,,,,,,,,,,,,,,
Turner Broadcasting System,Network/Cable TV News,No,N/A,81,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,Wireless Telephone Service,Yes,S, , , , , , , , , ,59,63,63,61,56,63,70,72,71,71,68,65,70,73,70,69,
Motorola (Lenovo),Cellular Telephones,Yes,LNVGY, , , , , , , , , ,70,70,71,72,74,72,76,77,73,77,77,79,77,76,79,80,
BlackBerry,Cellular Telephones,Yes,BB, , , , , , , , , ,,,,,,,,,69,69,74,78,,,,,
ABCNews.com,Internet News and Opinion,No,N/A, , , , , , , ,74,74,74,74,73,74,75,71,75,77,76,75,74,74,76,74,71,73,
CNN.com (WarnerMedia/AT&T),Internet News and Opinion,No,N/A, , , , , , , ,72,72,74,72,74,73,73,71,73,74,75,73,70,73,75,71,68,69,
FOXNews.com,Internet News and Opinion,No,N/A, , , , , , , ,,,,,,,,,82,82,84,82,76,76,79,77,78,78,
