,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades
80,549,0.59,0.72,0.65,0.0,0.020757245507208255,0,0
81,881,0.41,0.13,0.83,0.0,0.020757245507208255,0,0
82,913,0.88,0.77,0.17,0.0,0.020757245507208255,0,0
83,1080,0.77,0.38,0.86,0.0,0.020757245507208255,0,0
84,327,0.48,0.26,0.59,0.0,0.020757245507208255,0,0
85,765,0.92,0.23,0.98,0.0,0.020757245507208255,0,0
86,24,0.29,0.92,0.9,0.0,0.020757245507208255,0,0
87,751,0.58,0.01,0.51,0.0,0.020757245507208255,0,0
88,411,0.04,0.49,0.23,-0.03251236052331119,0.020757245507208255,0,0
89,110,0.11,0.02,0.59,0.0,0.020757245507208255,0,0
90,116,0.61,0.91,0.29,0.0,0.020757245507208255,0,0
91,989,0.44,0.62,0.04,0.0,0.020757245507208255,0,0
92,108,0.64,0.67,0.33,0.0,0.020757245507208255,0,0
93,685,0.99,0.36,0.23,0.0,0.020757245507208255,0,0
94,787,0.55,0.58,0.17,0.0,0.020757245507208255,0,0
95,953,0.09,0.9,0.18,0.048790330897663825,0.020757245507208255,0,0
96,757,0.02,0.97,0.14,-0.10913626885861616,0.020757245507208255,0,0
97,319,0.1,0.81,0.21,0.10710582656340573,0.020757245507208255,0,0
98,170,0.11,0.22,0.92,0.0,0.020757245507208255,0,0
99,89,0.1,0.33,0.74,0.0,0.020757245507208255,0,0
