Company Name,Ticker Name,Exchange,Ticker Symbol,Division,"Type (Public, Subsidiary, Private, Defunct, Government)",Notes,"Base-
line",95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,"Previous
Year
%
Change"
National Grid [Investor-Owned Energy Utilities],National Grid plc,NYSE,NGG,No,Public,, , , , , , , , ,73,75,69,72,65,71,71,71,70,NM,NM,NM,NM,NM,71,71,73,71,70,-1.4
Eversource Energy [Investor-Owned Energy Utilities],Eversource Energy,NYSE,ES,No,Public,,70,70,72,67,65,68,72,76,72,73,68,74,72,69,68,72,74,75,59,73,71,66,65,71,70,68,69,1.5
American Electric Power [Investor-Owned Energy Utilities],American Electric Power Company Inc,NYSE,AEP,No,Public,,78,80,82,77,78,77,79,76,75,74,75,74,75,73,76,74,73,72,79,75,77,74,70,72,73,68,68,0.0
PG&E [Investor-Owned Energy Utilities],PG&E Corporation,NYSE,PCG,No,Public,,73,71,72,71,68,71,73,49,58,66,66,67,68,72,70,73,70,67,69,74,70,71,72,74,70,70,63,-10.0
Pepco Holdings [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,Defunct,,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,72,73,71,70,69,68,70,54,69,71,73,72,69,#, , , ,N/A
Unicom [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,Private,,71,68,68,62,66,62,59,#, , , , , , , , , , , , , , , , , , , ,N/A
PECO Energy [Investor-Owned Energy Utilities],Exelon Corporation,NASDAQ,EXC,Yes,Subsidiary,Subsidiary of Exelon Corporation,NM,72,70,65,66,71,72,#, , , , , , , , , , , , , , , , , , , ,N/A
Niagara Mohawk Power [Investor-Owned Energy Utilities],National Grid plc,NYSE,NGG,Yes,Subsidiary,Acquired by National Grid plc in 2000,69,73,64,65,68,68,69,69,#, , , , , , , , , , , , , , , , , , ,N/A
KeySpan [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,68,72,71,74,70,71,74,#, , , , , , , , , , , , ,N/A
GPU [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,77,79,79,69,75,75,78,#, , , , , , , , , , , , , , , , , , , ,N/A
Cinergy [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,74,75,71,#, , , , , , , , , , , , , ,N/A
Central and South West [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,77,82,78,78,NM,76,79,#, , , , , , , , , , , , , , , , , , , ,N/A
PacifiCorp [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,72,71,76,NM,NM,#, , , , , , , , , , , , , , ,N/A
Allegheny Energy [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,79,80,76,75,74,80,79,NM,NM,NM,#, , , , , , , , , ,N/A
Iberdrola [Investor-Owned Energy Utilities],Iberdrola SA,OTCMKTS,IBDRY,No,Public,,NM,NM,NM,NM,NM,NM,NM,73,73,71,70,73,74,70,75,73,72,NM,NM,NM,NM,#, , , , , ,N/A
Reliant Energy [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,68,73,73,75,67,74,70,68,69,69,65,72,69,72,#, , , , , , , , , ,N/A
Energy Future Holdings [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,73,74,77,70,76,74,76,71,75,74,74,72,65,63,68,72,73,NM,NM,NM,NM,NM,NM,NM,#, , ,N/A
Long Island Power Authority [Municipal Energy Utilities],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , ,65,58,43,#, , , , , , ,N/A
Progress Energy [Investor-Owned Energy Utilities],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,76,77,75,78,75,77,77,77,75,73,78,76,#, , , , , , , ,N/A
Unilever [Personal Care and Cleaning Products],UNILEVER N.V. Common Stock,NYSE,UL,No*,Public,,84,83,83,82,83,81,85,83,83,85,85,85,85,86,87,87,87,82,86,85,80,80,84,81,82,80,,-2.4
Optimum (Altice USA) [Internet Service Providers],Altice USA Inc,NYSE,ATUS,Yes,Subsidiary,, , , , , , , , , , , , , , , , , , , ,NM,NM,61,69,68,64,63,,-1.6
Bright House Networks [Internet Service Providers],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , ,NM,NM,63,67,#, , ,,N/A
Optimum (Altice USA) [Fixed-Line Telephone Service],Altice USA Inc,NYSE,ATUS,Yes,Subsidiary,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,67,72,71,69,69,,0.0
Windstream [Fixed-Line Telephone Service],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,61,65,65,64,64,,0.0
Frontier Communications [Fixed-Line Telephone Service],Frontier Communications Corp,NASDAQ,FTR,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,59,67,61,57,61,,7.0
Vonage [Fixed-Line Telephone Service],Vonage Holdings Corp.,NASDAQ,VG,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,73,78,80,76,77,,1.3
Orbitz (Expedia) [Internet Travel Services],Expedia Group Inc,NASDAQ,EXPE,Yes,Subsidiary,, , , , , , , , ,76,77,75,74,75,73,74,76,75,76,76,NM***,77,75,77,78,81,81,,0.0
Spirit [Airlines],Spirit Airlines Incorporated,NYSE,SAVE,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,54,62,61,62,63,,1.6
Allegiant [Airlines],Allegiant Travel Company,NASDAQ,ALGT,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,65,65,71,74,71,,-4.1
Alaska [Airlines],"Alaska Air Group, Inc.",NYSE,ALK,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,77,78,79,80,,1.3
Frontier Communications [Internet Service Providers],Frontier Communications Corp,NASDAQ,FTR,No,Public,, , , , , , , , , , , , , , , , , , , ,NM,NM,61,56,56,54,55,,1.9
Mediacom [Internet Service Providers],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , ,NM,NM,57,57,58,53,56,,5.7
Bright House Networks [Fixed-Line Telephone Service],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,73,72,#, , ,,N/A
Mitsubishi Electric & Electronics [Televisions and Video Players],MITSUBISHI ELEC/ADR,OTCMKTS,MIELY,No*,Public,Subsidiary of Mitsubishi Group.,81,82,83,81,83,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Allstate [Property and Casualty Insurance],Allstate Corp,NYSE,ALL,No,Public,,74,73,74,71,73,73,75,76,74,73,76,76,78,78,79,79,78,78,79,77,77,73,77,78,78,78,,0.0
Farmers [Property and Casualty Insurance],Farmers National Banc Corp,NASDAQ,FMNB,No,Public,,76,71,72,71,72,75,73,73,72,75,77,73,78,76,77,78,76,79,79,76,77,71,77,79,80,80,,0.0
GEICO [Property and Casualty Insurance],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,78,78,83,80,80,81,81,81,79,81,77,77,78,80,80,79,,-1.3
Progressive [Property and Casualty Insurance],Progressive Corp,NYSE,PGR,No,Public,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,75,73,79,79,80,79,79,81,78,76,74,77,78,78,78,,0.0
State Farm [Property and Casualty Insurance],N/A,N/A,N/A,N/A,,,78,79,77,78,78,78,79,79,77,78,81,79,81,81,80,82,82,82,81,79,81,78,77,79,81,81,,0.0
Expedia [Internet Travel Services],Expedia Group Inc,NASDAQ,EXPE,No*,Public,, , , , , , , , ,80,78,76,79,78,75,77,79,79,77,76,NM***,76,77,77,80,78,79,,1.3
Mediacom [Subscription Television Service],N/A,N/A,N/A,N/A,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,51,54,56,55,56,,1.8
Suddenlink (Altice USA) [Subscription Television Service],Altice USA Inc,NYSE,ATUS,Yes,Subsidiary,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,57,62,63,58,55,,-5.2
Bright House Networks [Subscription Television Service],N/A,N/A,N/A,N/A,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,65,66,#, , ,,N/A
Optimum (Altice USA) [Subscription Television Service],Altice USA Inc,NYSE,ATUS,Yes,Subsidiary,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,67,66,66,62,61,,-1.6
Frontier [Airlines],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,58,66,63,62,64,,3.2
La Quinta (Wyndham) [Hotels],Wyndham Hotels & Resorts Inc,NYSE,WH,Yes,Subsidiary,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,75,75,76,74,,-2.6
PetSmart [Specialty Retail Stores],N/A,N/A,N/A,N/A,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,77,78,79,79,78,,-1.3
