,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,763,1048,6.715633529175367,32.248566172492154,18,69,0.22,0.535187836137714,0.6436151499452962
1,166,629,6.4020999294138194,32.248566172492154,21,119,0.39,0.43941240963318534,0.6436151499452962
2,1043,1073,1.4659278691595041,32.248566172492154,16,143,0.31,0.6186394958500581,0.6436151499452962
3,600,1059,5.245999447322602,32.248566172492154,16,61,0.22,0.6366215274464604,0.6436151499452962
4,26,834,7.116109609695238,32.248566172492154,20,198,0.36,0.4468913644909927,0.6436151499452962
5,110,898,11.326578080233466,32.248566172492154,21,92,0.28,0.5452659387732519,0.6436151499452962
6,156,508,10.070567865811439,32.248566172492154,23,140,0.42,0.4330356127354784,0.6436151499452962
7,719,929,3.0432334735080806,32.248566172492154,18,81,0.33,0.5182774771281792,0.6436151499452962
8,841,1029,4.915419884956538,32.248566172492154,19,78,0.22,0.5452407263148755,0.6436151499452962
9,725,783,0.17914782258672313,32.248566172492154,17,147,0.31,0.44575511458849176,0.6436151499452962
10,284,436,7.000528043139251,32.248566172492154,17,172,0.33,0.5288336976904228,0.6436151499452962
11,378,957,50.20331731676509,32.248566172492154,21,66,0.28,0.5381823319108086,0.6436151499452962
12,408,681,2.824881216877603,32.248566172492154,19,114,0.42,0.42296649464620123,0.6436151499452962
13,691,719,-0.7984726336987538,32.248566172492154,20,223,0.36,0.5371756894900054,0.6436151499452962
14,754,770,-0.7691847995253206,32.248566172492154,17,264,0.31,0.4648233378325142,0.6436151499452962
15,758,963,5.271772356435247,32.248566172492154,18,78,0.31,0.5051497579674471,0.6436151499452962
16,276,746,39.7071802362312,32.248566172492154,21,93,0.39,0.43108164103104507,0.6436151499452962
17,6,968,5.677081511442377,32.248566172492154,20,311,0.28,0.5641552443969785,0.6436151499452962
18,96,681,6.051019866566741,32.248566172492154,21,136,0.31,0.4619941903957864,0.6436151499452962
19,469,672,8.253687297600013,32.248566172492154,20,111,0.42,0.4137425288452924,0.6436151499452962
20,1037,1070,0.14965467675656385,32.248566172492154,15,138,0.28,0.6143768183423052,0.6436151499452962
21,272,539,8.665144277703957,32.248566172492154,19,124,0.39,0.4602788111550232,0.6436151499452962
22,1000,1084,0.08903460829462762,32.248566172492154,15,99,0.25,0.595201968732599,0.6436151499452962
23,748,1021,9.773740658816735,32.248566172492154,19,70,0.25,0.5264725908857855,0.6436151499452962
24,269,905,18.544792399685047,32.248566172492154,22,80,0.28,0.5343097173502459,0.6436151499452962
25,501,847,0.9393857688534897,32.248566172492154,18,76,0.25,0.5586290225421129,0.6436151499452962
26,823,1014,6.180483924991397,32.248566172492154,20,76,0.28,0.5419093727445782,0.6436151499452962
27,991,1054,0.2748446205953756,32.248566172492154,17,115,0.22,0.5635642864780331,0.6436151499452962
28,1013,1078,0.4138202420923913,32.248566172492154,16,111,0.22,0.597100121543602,0.6436151499452962
29,779,910,2.0796547715523106,32.248566172492154,18,99,0.31,0.504789666765696,0.6436151499452962
30,1003,1018,-0.6537277012610935,32.248566172492154,18,201,0.28,0.5291427554274057,0.6436151499452962
31,951,953,-0.9542521035416062,32.248566172492154,17,577,0.19,0.4370859766062104,0.6436151499452962
32,713,727,-0.5919087352852653,32.248566172492154,18,299,0.33,0.4788352210157436,0.6436151499452962
33,581,1036,3.288294739783563,32.248566172492154,18,67,0.28,0.6284361773610098,0.6436151499452962
34,918,1034,5.38306059070238,32.248566172492154,20,94,0.33,0.5283359784283578,0.6436151499452962
35,818,929,4.522109733468519,32.248566172492154,18,105,0.28,0.5232547027813439,0.6436151499452962
36,84,877,9.264694240130076,32.248566172492154,20,111,0.33,0.582788480640434,0.6436151499452962
