,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,894,0.29,0.47,0.86,6.221158395744967,32.248566172492154,10,18,0.25,0.504185932370773,0.6436151499452962
1,580,0.22,0.54,0.6,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
2,438,0.02,0.02,0.14,-1.0,32.248566172492154,2,25286,0.0,0.3517856541738441,0.6436151499452962
3,890,0.27,0.41,0.85,2.4334959686631854,32.248566172492154,10,90,0.25,0.4651221273594732,0.6436151499452962
4,193,0.02,0.38,0.6,5.5909483611206845,32.248566172492154,7,6,0.36,0.3741194730369473,0.6436151499452962
5,814,0.44,0.49,0.34,6.854222968060608,32.248566172492154,11,8,0.25,0.48774446527634324,0.6436151499452962
6,546,0.5,0.9,0.26,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
7,223,0.44,0.69,0.74,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
8,876,0.7,0.6,0.63,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
9,396,0.26,0.13,0.48,-0.4675140414102531,32.248566172492154,18,429,0.08,0.7101698950349451,0.6436151499452962
10,1089,0.68,0.63,0.28,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
11,284,0.6,0.39,0.41,1.4096497516583715,32.248566172492154,9,1,0.22,0.4040819550531333,0.6436151499452962
12,783,0.7,0.64,0.93,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
13,875,0.26,0.78,0.59,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
14,1090,0.26,0.55,0.92,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
15,1039,0.25,0.1,0.76,-0.9999999740599068,32.248566172492154,18,2293,0.06,0.7008832428431108,0.6436151499452962
16,99,0.3,0.03,0.87,5.234195857270762,32.248566172492154,17,7,0.0,0.5604924377098631,0.6436151499452962
17,326,0.51,0.22,0.72,16.458181716930536,32.248566172492154,17,1,0.03,0.536899933381253,0.6436151499452962
18,685,0.35,0.93,0.38,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
19,814,0.52,0.25,0.13,19.564687597647684,32.248566172492154,20,24,0.22,1.0168362100814956,0.6436151499452962
20,717,0.04,0.01,0.6,-1.0,32.248566172492154,6,21311,0.0,0.6973491351667166,0.6436151499452962
21,558,0.39,0.57,0.74,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
22,832,0.3,0.49,0.12,6.854222968060608,32.248566172492154,11,8,0.25,0.48774446527634324,0.6436151499452962
23,377,0.64,0.52,0.27,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
24,266,0.95,0.05,0.54,9.024910286953126,32.248566172492154,17,1,0.0,0.5456248060305156,0.6436151499452962
25,1085,0.66,0.89,0.34,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
26,432,0.46,0.18,0.33,1.8192298944203777,32.248566172492154,18,21,0.14,0.7645940623426369,0.6436151499452962
27,145,0.74,0.88,0.28,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
28,523,0.89,0.72,0.79,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
29,970,0.17,0.9,0.31,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
30,398,0.34,0.03,0.81,1.6973370773894985,32.248566172492154,17,81,0.0,0.5959445783469752,0.6436151499452962
31,533,0.35,0.8,0.65,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
32,195,0.21,0.07,0.04,-1.0000092304384527,32.248566172492154,13,520,0.36,0.6759102282586128,0.6436151499452962
33,270,0.56,0.28,0.86,17.392951226938724,32.248566172492154,18,1,0.03,0.5364399498007538,0.6436151499452962
34,657,0.31,0.63,0.0,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
35,164,0.25,0.6,0.57,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
36,548,0.01,0.89,0.24,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
37,913,0.21,0.18,0.03,-1.0001410683837315,32.248566172492154,17,3218,0.14,41.148696281268585,0.6436151499452962
38,791,0.59,0.95,0.89,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
39,774,0.66,0.53,0.6,1.9372455699930167,32.248566172492154,7,2,0.36,0.2956520890600942,0.6436151499452962
40,785,0.88,0.69,0.98,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
41,295,0.47,0.78,0.56,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
42,72,0.96,0.64,0.26,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
43,862,0.78,0.83,0.02,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
44,426,0.62,0.5,0.41,1.7561555576593593,32.248566172492154,7,2,0.36,0.2970274244244046,0.6436151499452962
45,422,0.27,0.1,0.89,-0.45798249448664996,32.248566172492154,18,371,0.03,0.6349644197896657,0.6436151499452962
46,122,0.93,0.31,0.2,2.0996020217130305,32.248566172492154,11,4,0.22,0.6695720891595863,0.6436151499452962
47,1035,0.16,0.67,0.25,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
48,735,0.35,0.3,0.93,4.3286038211617255,32.248566172492154,17,227,0.08,0.5772778928632518,0.6436151499452962
49,806,0.52,0.36,0.33,-2.543854438169805,32.248566172492154,11,7,0.28,0.5024781904630132,0.6436151499452962
50,577,0.48,0.21,0.98,10.656725342881437,32.248566172492154,17,3,0.03,0.5493947164059174,0.6436151499452962
51,169,0.98,0.21,0.93,16.458181716930536,32.248566172492154,17,1,0.03,0.536899933381253,0.6436151499452962
52,661,0.03,0.03,0.73,-1.0,32.248566172492154,6,23430,0.11,120449823690.04875,0.6436151499452962
53,44,0.51,0.22,0.09,-2844.570849443424,32.248566172492154,22,10,0.22,1.1615076058440719,0.6436151499452962
54,1011,0.85,0.22,0.42,-110.3967389173398,32.248566172492154,20,11,0.14,0.8437367433219092,0.6436151499452962
55,27,0.31,0.04,0.57,5.317713495191537,32.248566172492154,17,3,0.0,0.5590472478969958,0.6436151499452962
56,190,0.81,0.75,0.47,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
57,930,0.91,0.34,0.66,-105.1757515798597,32.248566172492154,19,5,0.11,0.6803940160301423,0.6436151499452962
58,520,0.4,0.47,0.4,4.631663362546469,32.248566172492154,7,2,0.36,0.36402600262733,0.6436151499452962
59,538,0.66,0.46,0.85,2.4082253988170037,32.248566172492154,6,1,0.36,0.2861454124134532,0.6436151499452962
60,20,0.71,0.38,0.25,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
61,935,0.2,0.22,0.49,-1.0292998441206758,32.248566172492154,18,2894,0.14,9.684509289224094,0.6436151499452962
62,764,0.49,0.45,0.65,0.6133212880151386,32.248566172492154,8,5,0.22,0.41290023673743986,0.6436151499452962
63,909,0.41,0.79,0.07,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
64,51,0.72,0.33,0.21,2.345501195057192,32.248566172492154,6,1,0.36,0.2856897703465572,0.6436151499452962
65,1056,0.06,0.08,0.99,-1.0,32.248566172492154,10,15654,0.08,642078063.2336758,0.6436151499452962
66,1076,0.17,0.64,0.7,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
67,924,0.07,0.05,0.84,-1.0,32.248566172492154,9,16417,0.03,0.999752716803404,0.6436151499452962
68,34,0.7,0.36,0.25,2.7579478402284816,32.248566172492154,6,1,0.36,0.2900795198383298,0.6436151499452962
69,868,0.98,0.37,0.48,1.102545214405819,32.248566172492154,9,5,0.25,0.5422531803095467,0.6436151499452962
70,851,0.3,0.24,0.49,-30.330177872341995,32.248566172492154,21,579,0.14,0.8308421400229548,0.6436151499452962
71,1005,0.06,0.61,0.49,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
72,953,0.3,0.9,0.88,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
73,837,0.57,0.07,0.05,-1.0000862765317897,32.248566172492154,14,72,0.39,0.9898254612044007,0.6436151499452962
74,609,0.9,0.58,0.16,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
75,533,0.46,0.23,0.07,-73.0389133224038,32.248566172492154,21,28,0.17,0.7858420834046075,0.6436151499452962
76,348,0.16,0.81,0.56,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
77,741,0.33,0.15,0.74,0.10077332956492002,32.248566172492154,19,335,0.08,0.695241944251224,0.6436151499452962
78,289,0.88,0.43,0.74,2.4082253988170037,32.248566172492154,6,1,0.36,0.2861454124134532,0.6436151499452962
79,52,0.97,0.18,0.75,16.458181716930536,32.248566172492154,17,1,0.03,0.536899933381253,0.6436151499452962
80,542,0.79,0.5,0.58,2.7579478402284816,32.248566172492154,6,1,0.36,0.2900795198383298,0.6436151499452962
81,221,0.38,0.42,0.79,4.073109240345485,32.248566172492154,7,2,0.36,0.3603744898920187,0.6436151499452962
82,1010,0.98,0.95,0.83,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
83,419,0.82,0.09,0.83,9.787287982159834,32.248566172492154,17,1,0.0,0.5443220581116812,0.6436151499452962
84,319,0.6,0.47,0.05,4.6330216566043205,32.248566172492154,7,2,0.36,0.3639195526426159,0.6436151499452962
85,82,0.59,0.33,0.78,2.345501195057192,32.248566172492154,6,1,0.36,0.2856897703465572,0.6436151499452962
86,381,0.22,0.39,0.18,8.307173497470473,32.248566172492154,11,14,0.25,0.5140828704494107,0.6436151499452962
87,409,0.4,0.87,0.76,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
88,683,0.69,0.34,0.37,0.9154724319983913,32.248566172492154,9,5,0.25,0.4088456038434473,0.6436151499452962
89,995,0.75,0.11,0.72,13.473808774865098,32.248566172492154,19,7,0.08,0.5417886611257444,0.6436151499452962
90,615,0.23,0.87,0.99,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
91,1010,0.09,0.16,0.87,-1.0000000000005913,32.248566172492154,16,6308,0.11,291.3166576734434,0.6436151499452962
92,290,0.42,0.51,0.57,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
93,819,0.41,0.5,0.72,4.764929477363222,32.248566172492154,11,4,0.25,0.46379237594396816,0.6436151499452962
94,908,0.28,0.99,0.78,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
95,794,0.17,0.82,0.56,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
96,305,0.3,0.68,0.73,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
97,776,0.96,0.32,0.63,-109.7850943721999,32.248566172492154,19,5,0.11,0.6797672379367634,0.6436151499452962
98,948,0.22,0.99,0.93,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
99,355,0.83,0.55,0.73,0.0,32.248566172492154,0,0,0.5,0.0,0.6436151499452962
