,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,1089,1092,0.037058152793614685,,15.260730647137649,32.248566172492154,17,,361,10.314285714285715
1,1007,1092,0.037058152793614685,,8.885563784798888,32.248566172492154,16,,96,2.742857142857143
2,656,674,0.14715623186461668,,34.30630352772881,32.248566172492154,21,,282,8.057142857142857
3,341,881,0.10504332657708981,,224.943825410215,32.248566172492154,21,,70,2.0
4,490,1062,0.037058152793614685,,28.38865365767441,32.248566172492154,17,,54,1.542857142857143
5,879,1062,0.07911348977631394,,19.823493858555015,32.248566172492154,18,,75,2.142857142857143
6,1085,1088,0.037058152793614685,,33.19158210358577,32.248566172492154,16,,351,10.028571428571428
7,339,668,0.1710621460676891,,11.71936255280711,32.248566172492154,19,,105,3.0
8,678,1053,-0.02183963105721143,,10.028899450753569,32.248566172492154,15,,60,1.7142857142857142
9,670,780,0.05620614040494121,,13.9156669097865,32.248566172492154,19,,115,3.2857142857142856
10,602,660,0.037058152793614685,,38.49563873032301,32.248566172492154,17,,178,5.085714285714285
11,649,819,0.08848648137322557,,17.858682332183317,32.248566172492154,19,,88,2.5142857142857142
12,787,826,0.0726753017015036,,7.4427747695770226,32.248566172492154,18,,155,4.428571428571429
13,951,1020,0.07911348977631394,,27.279040347972344,32.248566172492154,19,,108,3.085714285714286
14,90,1009,0.10233523361438857,,27.263311285895476,32.248566172492154,18,,88,2.5142857142857142
15,217,516,0.08926987442599787,,89.37584796311057,32.248566172492154,21,,121,3.4571428571428573
16,64,1033,0.11319529004294071,,92.06972232251856,32.248566172492154,21,,101,2.8857142857142857
17,920,992,0.0469351740835966,,29.879585506751976,32.248566172492154,19,,109,3.1142857142857143
18,136,195,0.052909805282245426,,15.82050921688333,32.248566172492154,16,,423,12.085714285714285
19,988,1063,0.03705815279361446,,6.058103004679334,32.248566172492154,16,,103,2.942857142857143
20,920,920,0.0,,0.0,32.248566172492154,0,,0,0.0
21,608,858,0.04069017870821856,,4.3188263169775665,32.248566172492154,17,,78,2.2285714285714286
22,819,1052,0.07911348977631394,,48.17830185852973,32.248566172492154,18,,68,1.9428571428571428
23,746,803,0.13480679990351274,,2.3747408061061686,32.248566172492154,19,,146,4.171428571428572
24,28,599,0.18532523598916684,,66.31613318620683,32.248566172492154,18,,219,6.257142857142857
