,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
86,1073,0.75,0.26,0.02,0.0,-0.025860749674134986,0,0,0.43,0.0,0.05934777295822683
87,920,0.8,0.35,0.99,0.0,-0.002417877354768172,0,0,0.43,0.0,0.05427695083749966
88,1051,0.91,0.01,0.63,-0.01744393422929391,-0.04437702287388101,3,1,0.14,0.05743992125462941,0.06383741088294789
89,171,0.54,0.42,0.89,0.0,0.011009626146673668,0,0,0.5,0.0,0.0591472334135283
90,242,0.82,0.89,0.29,0.0,0.011894364086859177,0,0,0.5,0.0,0.05926258875521602
91,452,0.65,0.47,0.69,0.0,-0.05587547469583898,0,0,0.5,0.0,0.056137953969852855
92,783,0.25,0.98,0.38,0.0,-0.034550581009407444,0,0,0.43,0.0,0.061408015583285916
93,495,0.72,0.58,0.12,0.0,-0.03031075478910583,0,0,0.5,0.0,0.05485071972767228
94,604,0.18,0.76,0.98,0.0,-0.0774035548843216,0,0,0.5,0.0,0.05835318102152818
95,733,0.33,0.0,0.54,0.03473830272053746,0.027271260137566644,4,1,0.12,0.05848217070552409,0.057588029060368945
96,116,0.89,0.37,0.96,0.0,-0.014764886206566241,0,0,0.5,0.0,0.056521457755303185
97,1022,0.0,0.61,0.4,0.0,-0.012706149306425552,0,0,0.43,0.0,0.05640729431776238
98,546,0.05,0.34,0.58,0.0,-0.04757002549219891,0,0,0.5,0.0,0.05555362524355179
99,671,0.9,0.6,0.91,0.0,-0.04131212137252538,0,0,0.5,0.0,0.05521788226700704
