,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades
80,636,0.49,0.11,0.28,0.0,0.020757245507208255,0,0
81,554,0.25,0.17,0.62,0.0,0.020757245507208255,0,0
82,113,0.56,0.84,0.16,0.0,0.020757245507208255,0,0
83,963,0.72,0.79,0.43,0.0,0.020757245507208255,0,0
84,644,0.73,0.94,0.96,0.0,0.020757245507208255,0,0
85,399,0.01,0.72,0.02,-0.9991337483249065,0.020757245507208255,0,0
86,598,0.71,0.96,0.82,0.0,0.020757245507208255,0,0
87,265,0.63,0.38,0.56,0.0,0.020757245507208255,0,0
88,627,0.66,0.68,0.71,0.0,0.020757245507208255,0,0
89,589,0.62,0.47,0.52,0.0,0.020757245507208255,0,0
90,88,0.29,0.88,0.11,0.0,0.020757245507208255,0,0
91,966,0.14,0.32,0.2,0.13085983868708517,0.020757245507208255,0,0
92,1069,0.27,0.16,0.04,0.0,0.020757245507208255,0,0
93,381,0.02,0.21,0.83,-0.029413729775875086,0.020757245507208255,0,0
94,34,0.93,0.17,0.43,0.0,0.020757245507208255,0,0
95,805,0.92,0.63,0.58,0.0,0.020757245507208255,0,0
96,635,0.2,0.14,0.6,0.0,0.020757245507208255,0,0
97,1065,0.24,0.29,0.19,0.0,0.020757245507208255,0,0
98,990,0.85,0.59,0.53,0.0,0.020757245507208255,0,0
99,142,0.04,0.45,0.9,-0.02560195613444871,0.020757245507208255,0,0
