,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades
0,542,991,0.049297364495128004,0.013276653070862343,0,0
1,184,630,-0.08454055462013477,0.013276653070862343,0,0
2,279,498,-0.13525923434806097,0.013276653070862343,0,0
3,498,863,0.015723291959874874,0.013276653070862343,0,0
4,797,831,0.02965514579797568,0.013276653070862343,0,0
5,300,679,0.02937082379462508,0.013276653070862343,0,0
6,182,1036,0.027917210499548428,0.013276653070862343,0,0
7,629,888,0.01982154263635527,0.013276653070862343,0,0
8,466,1044,0.06536120254742572,0.013276653070862343,0,0
9,752,1071,0.048665013096003795,0.013276653070862343,0,0
10,992,1039,-0.0428979831309525,0.013276653070862343,0,0
11,1091,1091,0.0,0.013276653070862343,0,0
12,669,846,0.031003672950399075,0.013276653070862343,0,0
13,952,1001,-0.008696284672375043,0.013276653070862343,0,0
14,304,368,-0.1590859563115773,0.013276653070862343,0,0
15,600,960,0.06400171701778667,0.013276653070862343,0,0
16,534,695,-1.0,0.013276653070862343,0,0
17,115,1083,-0.027138921429583185,0.013276653070862343,0,0
18,583,602,0.01162977689475797,0.013276653070862343,0,0
19,1082,1086,-0.004604210397839981,0.013276653070862343,0,0
20,216,883,-0.005414257632775699,0.013276653070862343,0,0
21,510,912,0.03711343847948978,0.013276653070862343,0,0
22,859,975,0.16028118519811807,0.013276653070862343,0,0
23,901,926,0.11414793037363791,0.013276653070862343,0,0
24,374,803,0.09857980886339601,0.013276653070862343,0,0
25,814,1037,0.15595867150667453,0.013276653070862343,0,0
26,426,736,-1.0,0.013276653070862343,0,0
27,315,580,-0.0032384844462265416,0.013276653070862343,0,0
28,297,312,-0.23041399605449875,0.013276653070862343,0,0
29,693,933,0.04667890831757915,0.013276653070862343,0,0
30,354,721,0.025778589154125342,0.013276653070862343,0,0
31,619,930,-1.0,0.013276653070862343,0,0
32,622,1062,0.08984825119986861,0.013276653070862343,0,0
33,824,960,0.11189329073747567,0.013276653070862343,0,0
34,415,661,0.08403416260142538,0.013276653070862343,0,0
35,153,742,-0.10254851376228324,0.013276653070862343,0,0
36,900,924,0.11287074112797413,0.013276653070862343,0,0
37,836,844,0.10779176889889408,0.013276653070862343,0,0
38,413,587,0.022560285727432072,0.013276653070862343,0,0
39,1012,1077,-0.06784589638339344,0.013276653070862343,0,0
40,479,803,-1.0,0.013276653070862343,0,0
41,966,1094,0.04592255512509369,0.013276653070862343,0,0
42,145,419,-0.20062554700190594,0.013276653070862343,0,0
43,960,1069,0.07014867308278938,0.013276653070862343,0,0
44,107,296,-0.09251730113926837,0.013276653070862343,0,0
45,673,848,0.03285466294514694,0.013276653070862343,0,0
46,590,801,-1.0,0.013276653070862343,0,0
47,127,666,-0.11839191890489986,0.013276653070862343,0,0
48,783,895,0.03784085278804805,0.013276653070862343,0,0
49,861,1024,0.15283865132769403,0.013276653070862343,0,0
50,458,827,-1.0,0.013276653070862343,0,0
51,663,890,0.04295821853501258,0.013276653070862343,0,0
52,588,627,-1.0,0.013276653070862343,0,0
53,932,1082,0.09577089643264003,0.013276653070862343,0,0
54,56,364,-0.06019985495987856,0.013276653070862343,0,0
55,184,976,0.03652388496142267,0.013276653070862343,0,0
56,420,490,-0.024308068216644774,0.013276653070862343,0,0
57,311,788,-0.0006515598287504254,0.013276653070862343,0,0
58,494,717,-1.0,0.013276653070862343,0,0
59,691,770,-1.0,0.013276653070862343,0,0
60,662,791,0.037769341404053636,0.013276653070862343,0,0
61,374,829,0.05189584740786102,0.013276653070862343,0,0
62,92,522,-0.16239885324014303,0.013276653070862343,0,0
63,996,1082,0.03726809279064747,0.013276653070862343,0,0
64,366,620,0.07227234969078444,0.013276653070862343,0,0
65,842,1066,0.12373444937878064,0.013276653070862343,0,0
66,779,946,0.10447486510587023,0.013276653070862343,0,0
67,214,1073,-0.0072607605137385844,0.013276653070862343,0,0
68,162,876,-0.04297871800820563,0.013276653070862343,0,0
69,51,760,-0.03849275421543863,0.013276653070862343,0,0
70,469,890,0.032668230479459215,0.013276653070862343,0,0
71,574,823,-1.0,0.013276653070862343,0,0
72,998,1091,0.04499606653530419,0.013276653070862343,0,0
73,904,1019,0.13027549049197695,0.013276653070862343,0,0
74,64,1048,-0.052726804983871944,0.013276653070862343,0,0
75,969,991,0.006307753235930136,0.013276653070862343,0,0
76,552,969,0.0435685077480632,0.013276653070862343,0,0
77,91,761,-0.05049985733473383,0.013276653070862343,0,0
78,1035,1040,-0.13240155912299145,0.013276653070862343,0,0
79,606,893,-1.0,0.013276653070862343,0,0
80,150,458,-0.17587127010842973,0.013276653070862343,0,0
81,252,860,-0.006062896048025901,0.013276653070862343,0,0
82,475,790,-1.0,0.013276653070862343,0,0
83,815,895,0.13074518432306403,0.013276653070862343,0,0
84,120,537,-0.1425055615723091,0.013276653070862343,0,0
85,272,495,-0.08562037221162633,0.013276653070862343,0,0
86,36,530,-0.14860410258134948,0.013276653070862343,0,0
87,699,989,0.014556077169766812,0.013276653070862343,0,0
88,247,923,-0.004873370405361621,0.013276653070862343,0,0
89,652,972,0.07821681456951146,0.013276653070862343,0,0
90,172,477,-0.2101678494119218,0.013276653070862343,0,0
91,77,792,0.012447851399756793,0.013276653070862343,0,0
92,86,995,-0.08323057053707938,0.013276653070862343,0,0
93,640,977,0.058879987363952724,0.013276653070862343,0,0
94,169,223,-1.0,0.013276653070862343,0,0
95,586,688,-1.0,0.013276653070862343,0,0
96,804,1029,0.11486168682659881,0.013276653070862343,0,0
97,519,888,0.04364447790522963,0.013276653070862343,0,0
