,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,229,921,0.033966234010154306,-0.020262352725916366,2,3,0.57,0.042620889725292495,0.05315381043587254
1,976,1015,0.05083204724423096,-0.020262352725916366,3,6,0.43,0.08056557944444853,0.054996071748255104
2,564,587,0.05696555063609221,-0.020262352725916366,2,16,0.38,0.10316777966457824,0.05700175579217575
3,549,892,0.05380030358415544,-0.020262352725916366,2,8,0.29,0.10044188256306513,0.05754951345963758
4,606,851,0.08755742873507621,-0.020262352725916366,2,4,0.14,0.12133749488684617,0.056450949040487
5,5,590,0.0319609872180624,-0.020262352725916366,3,18,0.5,0.08260623563510118,0.057441445349872194
6,221,356,-0.39818732113275057,-0.020262352725916366,1,11,0.0,0.08209943332912933,0.05724705739615084
7,845,1080,0.21065118454596932,-0.020262352725916366,4,4,0.43,0.07579909267220733,0.05952434128392465
8,298,1057,0.12949286914286584,-0.020262352725916366,3,1,0.57,0.037493948479138145,0.06393309518030411
9,959,1024,0.007982228027683336,-0.020262352725916366,3,6,0.14,0.08802815908044084,0.05841957183084426
10,233,306,-0.3658655156565468,-0.020262352725916366,2,13,0.12,0.08395168820071253,0.0567323722122446
11,144,153,0.04746813817627671,-0.020262352725916366,6,43,0.5,0.08055206602675237,0.0567323722122446
12,934,997,0.06518645349136287,-0.020262352725916366,3,6,0.43,0.07976215849825592,0.053028104373347165
13,586,856,0.18326289086600012,-0.020262352725916366,2,4,0.14,0.13981766816089064,0.056732835633083616
14,734,783,0.10133887381686879,-0.020262352725916366,2,6,0.14,0.15415533556604985,0.05896503494035269
15,857,1090,0.2349334358420836,-0.020262352725916366,4,4,0.57,0.06837017498042657,0.06159448099636615
16,373,1034,0.10723539326343223,-0.020262352725916366,3,1,0.43,0.035987143058076175,0.05801091962264619
17,564,678,0.13495043513096272,-0.020262352725916366,2,8,0.38,0.08467729921855806,0.056217717275047006
18,421,766,0.2611445923655993,-0.020262352725916366,3,4,0.38,0.10675437143886819,0.05791337429634904
19,569,724,0.12557707205316637,-0.020262352725916366,3,6,0.38,0.06630920701714675,0.05534316947153699
20,1070,1086,-0.06764888128700164,-0.020262352725916366,2,10,0.29,0.07138889028705553,0.06242273917953315
21,478,1087,0.08303948703188624,-0.020262352725916366,3,1,0.43,0.036240400858905654,0.06257731386677726
22,1061,1091,-0.04599062840946477,-0.020262352725916366,2,8,0.29,0.06843770816690413,0.0605069473856198
23,1008,1071,-0.12533976880197384,-0.020262352725916366,2,6,0.14,0.05629779679841995,0.06312770592718876
24,934,985,0.11197748966124554,-0.020262352725916366,3,6,0.29,0.10002612818352251,0.053128504681982734
25,337,979,0.06507673230501232,-0.020262352725916366,2,3,0.57,0.037687755842794886,0.05387076458173902
26,994,1043,-0.037254992943937415,-0.020262352725916366,2,6,0.29,0.0629461159868011,0.05891339805571606
27,801,890,0.23751200497081082,-0.020262352725916366,3,4,0.43,0.09825110104280685,0.052940154503614285
28,821,1055,0.2021079660760854,-0.020262352725916366,3,4,0.43,0.07524961446742076,0.06472425276157456
29,6,564,-0.0352662865727168,-0.020262352725916366,2,24,0.25,0.08811437282752782,0.0615916154641459
30,617,909,0.11608292809668974,-0.020262352725916366,2,4,0.29,0.14133803021802785,0.0532095209403759
31,440,723,0.1568491251453934,-0.020262352725916366,3,4,0.38,0.12297949156621509,0.05540245335474419
32,779,793,0.031927445098310914,-0.020262352725916366,2,14,0.29,0.12663765674573363,0.06342270368621374
33,783,1004,0.11758769675276226,-0.020262352725916366,3,4,0.57,0.0584670016006078,0.0539561237161311
34,762,885,-0.0036464001170223304,-0.020262352725916366,2,4,0.29,0.1090709273539336,0.05290726614530906
35,412,847,0.08839056646498022,-0.020262352725916366,3,2,0.43,0.05190091869089102,0.05452957260910356
36,378,874,0.1478695484464867,-0.020262352725916366,3,2,0.43,0.08272487874433049,0.05310424153205275
37,1038,1049,-0.12667069982915347,-0.020262352725916366,1,10,0.14,0.05336460743605349,0.05927282746974144
38,680,689,0.02579680317006461,-0.020262352725916366,2,22,0.38,0.06984886158008453,0.061456788273277496
39,781,814,0.06551760046413668,-0.020262352725916366,2,6,0.29,0.11483157130235012,0.058451105585632754
40,243,421,-0.3471121763237365,-0.020262352725916366,2,10,0.12,0.06836691994748502,0.059755072006825394
41,569,1051,0.06013617189838416,-0.020262352725916366,2,1,0.43,0.036607039343899715,0.06057821132138641
42,185,721,-0.045827321389161124,-0.020262352725916366,3,4,0.25,0.08391153203251757,0.055868675790828756
43,700,713,0.19918721034558295,-0.020262352725916366,2,18,0.38,0.16145930281942467,0.0558551799385629
44,538,639,0.11429692594908913,-0.020262352725916366,2,10,0.38,0.11490399942286939,0.06414540231586992
45,170,362,-0.3074242666108905,-0.020262352725916366,2,10,0.25,0.09796638852071969,0.057439020908357605
46,854,908,0.1465701840413185,-0.020262352725916366,3,4,0.43,0.07726439331947622,0.053865824573209785
47,685,696,0.08098136521891575,-0.020262352725916366,2,22,0.38,0.17037324158995562,0.06176953030939773
48,586,720,0.14470848178582219,-0.020262352725916366,3,8,0.38,0.07200714255738085,0.056153687056959396
49,128,612,-0.14136906151950646,-0.020262352725916366,3,8,0.25,0.06441815734239792,0.0649028599653722
50,415,980,0.07431586899775056,-0.020262352725916366,2,1,0.57,0.03681560202410568,0.054542226734148325
51,213,260,-0.2715161983548806,-0.020262352725916366,2,15,0.12,0.08570987514452956,0.0567323722122446
52,246,890,0.006537657770014915,-0.020262352725916366,2,3,0.57,0.04914109406248043,0.052940154503614285
53,71,120,0.13497079458571926,-0.020262352725916366,6,24,0.25,0.07362082029216023,0.0567323722122446
54,630,1029,0.17120284511061246,-0.020262352725916366,2,2,0.14,0.12388779320126903,0.05649068250587368
55,958,1072,0.1171766856332428,-0.020262352725916366,4,4,0.43,0.05320219646528073,0.06270679557250515
56,850,851,0.3094678202454846,-0.020262352725916366,4,48,0.71,0.08666920187582737,0.056450949040487
57,628,949,0.16429866796502623,-0.020262352725916366,2,4,0.29,0.1316149504271682,0.0549890806889818
58,1079,1093,-0.013599942887867256,-0.020262352725916366,2,10,0.29,0.06957501922727004,0.06060200186601633
59,117,945,-0.11357562598812987,-0.020262352725916366,2,5,0.43,0.06682073769588916,0.05317185111349451
60,798,966,0.1922100075112232,-0.020262352725916366,3,4,0.43,0.07628099835610298,0.05326820138462161
61,181,370,-0.2987147788373522,-0.020262352725916366,2,10,0.12,0.0890322605737519,0.05882985479095128
62,234,603,-0.05912062848353761,-0.020262352725916366,3,4,0.25,0.07990539087215483,0.06143407531697621
63,580,863,0.1659609262709092,-0.020262352725916366,2,4,0.14,0.1403104100331538,0.05748097557352249
64,150,753,-0.09696019786077215,-0.020262352725916366,3,6,0.25,0.0810750962099721,0.05584995942309497
65,1050,1090,-0.020903966111839867,-0.020262352725916366,2,6,0.29,0.05521289021206884,0.06159448099636615
66,381,694,0.06825628928167538,-0.020262352725916366,3,4,0.38,0.06610002035752938,0.06121581175978107
67,455,1089,0.08188427893185679,-0.020262352725916366,3,1,0.43,0.03630224175162957,0.06151995103844573
68,1055,1060,-0.048019884510541844,-0.020262352725916366,2,18,0.14,0.046828418050773556,0.06543558530056419
69,271,586,-0.11185725225784371,-0.020262352725916366,3,4,0.25,0.09950738302774821,0.056212545117725915
70,72,212,-0.14043552783389113,-0.020262352725916366,3,15,0.38,0.058530395086078595,0.0567323722122446
71,797,961,0.20633050217161286,-0.020262352725916366,3,4,0.57,0.07202294016349545,0.052664510803443594
72,237,345,-0.3502463393318669,-0.020262352725916366,2,13,0.12,0.08996648669214591,0.05645719415520262
73,29,221,-0.08498915816862262,-0.020262352725916366,3,19,0.38,0.06286957326269728,0.0567323722122446
74,229,403,-0.4212965545298889,-0.020262352725916366,2,10,0.12,0.09935369671465125,0.05813771746221509
75,90,932,-0.08108508765655442,-0.020262352725916366,3,7,0.29,0.06619178869266709,0.054148821361764125
76,536,556,0.020788220270945734,-0.020262352725916366,4,20,0.5,0.05084085426054006,0.05781717127728114
77,221,588,-0.0783800552207391,-0.020262352725916366,3,4,0.25,0.06608705058957552,0.05724371503943236
78,551,908,0.10909286523073147,-0.020262352725916366,2,2,0.29,0.09775656320789271,0.053865824573209785
79,937,984,0.09430835038079488,-0.020262352725916366,3,6,0.29,0.09787181049351981,0.05340466105783028
80,641,989,0.16168653483418272,-0.020262352725916366,3,4,0.29,0.10967472547275711,0.05279142464424975
81,33,205,-0.012644948731113437,-0.020262352725916366,5,17,0.38,0.07585955760316655,0.0567323722122446
82,455,781,0.14190826541660861,-0.020262352725916366,3,4,0.29,0.08155142640689876,0.05828892866605477
83,810,873,0.17669362240152298,-0.020262352725916366,3,4,0.43,0.09237885504439923,0.05327567412475563
84,375,841,0.1401850202956365,-0.020262352725916366,3,2,0.29,0.08864349556984588,0.05496420416578732
85,1010,1057,-0.10501127412610645,-0.020262352725916366,2,6,0.14,0.056966116353598086,0.06393309518030411
86,755,1040,0.14537970614534035,-0.020262352725916366,3,4,0.43,0.06112348372720692,0.059968906777345794
87,566,959,0.07989722056164839,-0.020262352725916366,2,2,0.29,0.090759834776354,0.052666041459838144
88,56,438,-0.21518606021554343,-0.020262352725916366,2,12,0.25,0.0859958821197246,0.06025482826999419
89,325,641,0.07170634118704644,-0.020262352725916366,3,4,0.38,0.09080173907243605,0.06431646825300981
90,530,965,0.09703752293205792,-0.020262352725916366,2,2,0.29,0.08567669678778556,0.05318075573408098
91,383,909,0.10940683183644406,-0.020262352725916366,3,2,0.43,0.06827431173318955,0.0532095209403759
92,675,1053,0.10256166965068725,-0.020262352725916366,2,4,0.29,0.11486217934922954,0.06537228851452542
93,512,659,0.1870069865724262,-0.020262352725916366,2,8,0.38,0.09092552547828613,0.0624281224254279
94,234,775,0.01608342521816497,-0.020262352725916366,3,4,0.25,0.10560360642804559,0.05502072426765899
95,253,450,-0.3643716830564798,-0.020262352725916366,2,12,0.12,0.10135387321709804,0.06176953030939773
96,761,1046,0.17183494574974856,-0.020262352725916366,3,4,0.43,0.06663450482079593,0.06009042840677717
97,106,201,-0.1422480510432068,-0.020262352725916366,3,15,0.25,0.0638464879089435,0.0567323722122446
98,741,775,0.08252668807231789,-0.020262352725916366,2,8,0.12,0.13712248592257983,0.05502072426765899
99,404,489,0.06724932398613737,-0.020262352725916366,3,10,0.5,0.057393573426038916,0.05752531813147855
