,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,688,867,0.04085803456852721,,41.74783352136235,32.248566172492154,18,,82,2.342857142857143
1,253,617,0.04085803456852699,,38.870235198702346,32.248566172492154,18,,110,3.142857142857143
2,930,989,0.04085803456852721,,49.95306907250281,32.248566172492154,18,,117,3.342857142857143
3,1050,1082,0.04085803456852721,,53.09009870474015,32.248566172492154,18,,146,4.171428571428572
4,892,1037,0.04085803456852699,,54.05042892526019,32.248566172492154,18,,83,2.3714285714285714
5,817,1095,0.04085803456852721,,52.69156837046746,32.248566172492154,18,,64,1.8285714285714285
6,517,952,0.04085803456852699,,40.38047138047138,32.248566172492154,18,,72,2.057142857142857
7,881,1060,0.04085803456852721,,54.151665959507724,32.248566172492154,18,,77,2.2
8,676,1051,0.04085803456852699,,43.30425378514781,32.248566172492154,18,,60,1.7142857142857142
9,521,960,0.04085803456852699,,40.617981135100806,32.248566172492154,18,,74,2.1142857142857143
10,269,827,0.04085803456852699,,43.41632855911108,32.248566172492154,18,,90,2.5714285714285716
11,906,1070,0.04085803456852721,,53.98881431767339,32.248566172492154,18,,79,2.257142857142857
12,71,163,0.04085803456852721,,29.3456790123457,32.248566172492154,18,,462,13.2
13,527,611,0.04085803456852677,,31.517528773647285,32.248566172492154,18,,163,4.6571428571428575
14,1046,1067,0.04085803456852721,,52.953794655106144,32.248566172492154,18,,156,4.457142857142857
15,175,1039,0.04085803456852699,,48.797406807131296,32.248566172492154,18,,64,1.8285714285714285
16,977,978,0.04085803456852699,,42.659753043527054,32.248566172492154,18,,733,20.942857142857143
17,806,853,0.04085803456852699,,41.04446230283076,32.248566172492154,18,,139,3.9714285714285715
18,229,384,0.04085803456852721,,29.308261405672024,32.248566172492154,18,,188,5.371428571428571
19,803,1010,0.04085803456852699,,51.29342183643946,32.248566172492154,19,,71,2.0285714285714285
20,810,1013,0.06852678571428572,,53.866071428571445,32.248566172492154,19,,71,2.0285714285714285
21,936,957,0.04978070175438609,,52.90350877192983,32.248566172492154,19,,186,5.314285714285714
22,609,874,0.04085803456852699,,42.971377459749554,32.248566172492154,18,,78,2.2285714285714286
23,347,1005,0.04085803456852699,,42.97137745974955,32.248566172492154,18,,57,1.6285714285714286
24,668,1000,0.04085803456852699,,41.089033888864066,32.248566172492154,18,,68,1.9428571428571428
25,70,774,0.04085803456852699,,38.21506062539881,32.248566172492154,18,,124,3.5428571428571427
26,160,907,0.04085803456852699,,41.306368330464714,32.248566172492154,18,,80,2.2857142857142856
27,496,845,0.04085803456852699,,39.14372039849747,32.248566172492154,18,,75,2.142857142857143
28,600,1085,0.04085803456852699,,41.07463111109967,32.248566172492154,18,,59,1.6857142857142857
29,847,874,0.04085803456852699,,47.007812499999986,32.248566172492154,18,,178,5.085714285714285
30,840,911,0.04085803456852721,,48.456740442655935,32.248566172492154,18,,109,3.1142857142857143
31,835,1016,0.04085803456852677,,50.6278092837639,32.248566172492154,19,,77,2.2
32,414,569,0.04085803456852721,,37.406250000000014,32.248566172492154,18,,142,4.057142857142857
33,669,807,0.04085803456852721,,29.31199901344184,32.248566172492154,18,,99,2.8285714285714287
34,827,1003,0.05881288650706984,,53.36728796812987,32.248566172492154,19,,77,2.2
35,397,681,0.04085803456852721,,37.28660436137075,32.248566172492154,18,,115,3.2857142857142856
36,813,1023,0.04090131137909325,,52.44757516962214,32.248566172492154,19,,70,2.0
37,896,1076,0.04085803456852699,,53.501108647450096,32.248566172492154,18,,77,2.2
38,314,777,0.04085803456852699,,37.198248599423465,32.248566172492154,18,,88,2.5142857142857142
39,488,657,0.04085803456852699,,37.769722203426234,32.248566172492154,18,,114,3.257142857142857
40,1080,1087,0.04085803456852721,,51.28118685525897,32.248566172492154,19,,239,6.828571428571428
41,453,867,0.04085803456852721,,37.91826846955254,32.248566172492154,18,,77,2.2
42,630,1076,0.04085803456852721,,41.44957170489086,32.248566172492154,18,,57,1.6285714285714286
43,240,340,0.04085803456852721,,28.741666162502277,32.248566172492154,18,,242,6.914285714285715
44,1015,1017,0.04085803456852721,,41.74782608695652,32.248566172492154,18,,471,13.457142857142857
45,597,879,0.04085803456852699,,42.047285464098074,32.248566172492154,18,,74,2.1142857142857143
46,276,546,0.04085803456852721,,38.98958773956334,32.248566172492154,18,,118,3.3714285714285714
47,1075,1092,0.04085803456852677,,52.5330040334875,32.248566172492154,18,,176,5.0285714285714285
48,65,1007,0.04085803456852699,,48.37725994375252,32.248566172492154,18,,99,2.8285714285714287
49,954,976,0.04085803456852721,,50.529318043646924,32.248566172492154,19,,176,5.0285714285714285
50,819,1073,0.04085803456852721,,54.838255338482476,32.248566172492154,18,,68,1.9428571428571428
51,270,829,0.04085803456852699,,43.448462929475596,32.248566172492154,18,,90,2.5714285714285716
52,441,909,0.04085803456852699,,38.35382240410868,32.248566172492154,18,,69,1.9714285714285715
53,744,776,0.04085803456852721,,29.64761477269895,32.248566172492154,18,,191,5.457142857142857
54,188,597,0.04085803456852699,,36.349379283098564,32.248566172492154,18,,113,3.2285714285714286
55,494,633,0.04085803456852699,,29.345679012345673,32.248566172492154,18,,131,3.742857142857143
56,965,1011,0.04085803456852699,,56.560358756995996,32.248566172492154,18,,127,3.6285714285714286
57,933,989,0.04085803456852699,,50.21813947295326,32.248566172492154,18,,119,3.4
58,927,970,0.04085803456852699,,50.3141580939525,32.248566172492154,18,,132,3.7714285714285714
