,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,493,705,0.05441294273374542,,61.801142965701864,32.248566172492154,16,,100,2.857142857142857
1,306,357,-0.012440176195626096,,4.867227659753133,32.248566172492154,15,,288,8.228571428571428
2,451,1064,0.0,,14.746813263105176,32.248566172492154,10,,59,1.6857142857142857
3,1014,1076,-0.017090446538190807,,21.033512940190118,32.248566172492154,12,,112,3.2
4,1095,1095,0.0,,0.0,32.248566172492154,0,,0,0.0
5,1000,1034,0.01285281753831291,,13.081015309077477,32.248566172492154,16,,142,4.057142857142857
6,195,658,0.0040007186033732545,,40.33191629873971,32.248566172492154,18,,110,3.142857142857143
7,526,563,0.014007783399305085,,12.912225987243442,32.248566172492154,16,,224,6.4
8,289,585,0.051849702060624114,,39.36038778971416,32.248566172492154,16,,113,3.2285714285714286
9,235,470,0.07062710376996395,,36.66036723762137,32.248566172492154,18,,141,4.0285714285714285
10,480,856,0.0,,24.580856541906837,32.248566172492154,13,,77,2.2
11,144,1020,0.0,,20.797402101452256,32.248566172492154,13,,68,1.9428571428571428
12,214,913,0.0,,14.134235980348514,32.248566172492154,12,,77,2.2
13,224,848,0.0028241838006624054,,51.05610822947855,32.248566172492154,16,,85,2.4285714285714284
14,700,737,0.008876814309295433,,21.077802236006505,32.248566172492154,18,,181,5.171428571428572
15,698,846,0.0,,22.621572429123834,32.248566172492154,15,,88,2.5142857142857142
16,193,1025,-0.0801694523504628,,35.371078258044086,32.248566172492154,12,,58,1.6571428571428573
17,831,1086,-0.10848500109511328,,24.300330739951868,32.248566172492154,12,,68,1.9428571428571428
18,50,50,0.0,,0.0,32.248566172492154,0,,0,0.0
19,208,632,0.08183821354949461,,56.117471907731655,32.248566172492154,17,,110,3.142857142857143
20,915,936,-0.0010884520884520965,,19.161516222418555,32.248566172492154,13,,184,5.257142857142857
21,32,286,0.008424409177555381,,21.902461510241846,32.248566172492154,16,,349,9.971428571428572
22,119,985,-0.10373482288089653,,17.667360550305236,32.248566172492154,13,,76,2.1714285714285713
23,987,1091,0.0,,11.985324254492161,32.248566172492154,13,,89,2.5428571428571427
24,732,1063,-0.058959900467843274,,20.505644377675182,32.248566172492154,10,,62,1.7714285714285714
25,331,904,-0.08995816746771057,,52.74102423922039,32.248566172492154,15,,68,1.9428571428571428
26,881,978,0.0,,27.985902672342874,32.248566172492154,14,,101,2.8857142857142857
27,709,869,0.0030013023853476817,,31.947015409170156,32.248566172492154,16,,84,2.4
28,651,846,0.0,,33.82839985600988,32.248566172492154,14,,80,2.2857142857142856
29,562,719,-0.009081833328156486,,32.75685513770245,32.248566172492154,13,,114,3.257142857142857
30,752,805,0.0,,14.27732248774654,32.248566172492154,14,,150,4.285714285714286
31,726,950,0.0,,34.40580567468079,32.248566172492154,13,,73,2.085714285714286
32,203,711,0.05769046038513048,,35.6335995899986,32.248566172492154,16,,97,2.7714285714285714
33,69,851,0.004057436213846133,,15.5429523805327,32.248566172492154,14,,117,3.342857142857143
34,770,1020,-0.01765496574715919,,29.423017537189928,32.248566172492154,11,,69,1.9714285714285715
35,824,1049,-0.07471987038005412,,31.597247094862958,32.248566172492154,13,,68,1.9428571428571428
36,610,1017,0.0,,25.952457467638126,32.248566172492154,13,,70,2.0
37,985,997,-0.043736764945430884,,12.0061080944098,32.248566172492154,10,,232,6.628571428571429
38,415,714,0.060214052619431024,,75.74397863436369,32.248566172492154,18,,97,2.7714285714285714
39,644,998,0.0,,30.166975729740837,32.248566172492154,15,,68,1.9428571428571428
40,372,911,0.03221890982138009,,31.071018878544137,32.248566172492154,15,,66,1.8857142857142857
41,272,424,0.03630579144909496,,26.427028944988002,32.248566172492154,18,,168,4.8
42,286,999,-0.11800816993998908,,33.799235482850996,32.248566172492154,12,,60,1.7142857142857142
43,90,182,-0.013934416923538362,,5.639646961263533,32.248566172492154,15,,423,12.085714285714285
44,84,163,-0.045180733122333505,,3.3514896762272777,32.248566172492154,14,,492,14.057142857142857
45,67,795,0.020155037613105664,,39.42847870508795,32.248566172492154,16,,126,3.6
46,295,637,0.0,,15.830442157755037,32.248566172492154,15,,109,3.1142857142857143
47,109,903,0.0,,30.165726297924294,32.248566172492154,14,,90,2.5714285714285716
48,201,244,-0.021261398359130323,,2.424560360994619,32.248566172492154,15,,407,11.628571428571428
49,131,545,0.06399583344029236,,41.39290917298736,32.248566172492154,17,,124,3.5428571428571427
50,918,1072,0.0,,15.088677228456785,32.248566172492154,11,,81,2.3142857142857145
51,681,760,0.01039747498177479,,21.66686658666221,32.248566172492154,16,,136,3.8857142857142857
52,384,615,0.0,,13.615954075413148,32.248566172492154,15,,118,3.3714285714285714
53,1056,1068,-0.018069336472746333,,17.263366162495586,32.248566172492154,13,,210,6.0
54,1089,1093,0.0,,13.339107211383453,32.248566172492154,15,,311,8.885714285714286
55,380,1076,0.0,,20.8920313346618,32.248566172492154,10,,54,1.542857142857143
56,362,1011,-0.13241101107891462,,25.33981744720423,32.248566172492154,11,,57,1.6285714285714286
57,100,596,0.049280962531216055,,47.84341543612279,32.248566172492154,17,,137,3.914285714285714
58,529,1034,0.0,,25.023507237413227,32.248566172492154,14,,62,1.7714285714285714
59,311,1072,-0.12167523277670922,,30.24701817544725,32.248566172492154,11,,54,1.542857142857143
60,771,965,0.0,,49.09425487464968,32.248566172492154,15,,75,2.142857142857143
61,440,921,0.0,,30.377597372147044,32.248566172492154,13,,69,1.9714285714285715
