,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,530,609,0.038919717719350544,,11.139274106510848,32.248566172492154,17,
1,626,644,0.12533180645102404,,49.808876305194644,32.248566172492154,20,
2,16,166,0.24285069889019129,,362.29859107340826,32.248566172492154,22,
3,974,985,0.07654042065115507,,1.6939721776599184,32.248566172492154,18,
4,177,518,0.12370096281146803,,40.31171294556459,32.248566172492154,22,
5,729,767,0.07976067101912121,,21.085593536501385,32.248566172492154,19,
6,1012,1040,0.0597768404984762,,18.195829471684334,32.248566172492154,17,
7,824,827,0.17476948221456468,,56.88686573350316,32.248566172492154,19,
8,849,1027,0.08664618427986026,,41.377235819274745,32.248566172492154,19,
9,547,760,0.048749919166162226,,12.406214140334123,32.248566172492154,17,
10,66,580,0.2558191193518782,,194.54757165469962,32.248566172492154,23,
11,550,800,0.03705815279361446,,9.792093053407159,32.248566172492154,17,
12,800,844,0.15770690748156868,,42.37167716138997,32.248566172492154,20,
13,384,1092,0.07635693024995627,,46.95492153955523,32.248566172492154,19,
14,600,708,0.0790869303221462,,112.93271972089651,32.248566172492154,20,
15,130,639,0.1827293719441072,,129.09216053833978,32.248566172492154,23,
16,231,531,0.0740313856534851,,144.2778034334372,32.248566172492154,20,
17,888,1003,0.11142901624727464,,69.53559358310687,32.248566172492154,17,
18,482,967,0.049941963432272196,,20.214312129605894,32.248566172492154,17,
19,970,976,0.03705815279361446,,0.31683901721055907,32.248566172492154,17,
20,990,1043,0.037058152793614685,,4.820592644641046,32.248566172492154,17,
21,593,973,0.037058152793614685,,26.015069095885945,32.248566172492154,16,
22,814,1068,0.07911348977631394,,55.968599307817165,32.248566172492154,18,
23,155,337,0.1608014678972325,,23.004536858163195,32.248566172492154,19,
24,820,1015,0.08466317897782383,,51.565235759776925,32.248566172492154,21,
25,486,796,0.0705068661587962,,19.58226645199569,32.248566172492154,18,
26,521,758,0.03705815279361446,,19.69853380957685,32.248566172492154,18,
27,136,384,0.11909643957288196,,11.778701470153901,32.248566172492154,21,
28,702,863,0.08257418528631222,,11.600564367988193,32.248566172492154,17,
29,342,639,0.180342828114203,,5.1425647714360245,32.248566172492154,19,
30,920,1066,0.04764323927727565,,23.22692968536091,32.248566172492154,20,
31,42,133,0.14831311651253531,,16.9260231236522,32.248566172492154,21,
32,301,1038,0.1423057358752602,,273.92547595930273,32.248566172492154,20,
33,521,752,0.03705815279361446,,18.68360899291233,32.248566172492154,18,
34,854,1058,0.05156554524521573,,23.663268776963232,32.248566172492154,17,
35,788,1022,0.08110688452955261,,50.64629181145075,32.248566172492154,20,
36,729,1059,0.08101893953843242,,36.433121372038656,32.248566172492154,19,
37,298,875,0.10914918163867404,,196.2416811065299,32.248566172492154,20,
38,576,1013,0.03705815279361446,,24.852383031574764,32.248566172492154,16,
39,388,897,0.10050451110539593,,61.53498862452835,32.248566172492154,18,
40,796,1091,0.07911348977631416,,71.1134143881494,32.248566172492154,19,
41,722,779,0.08656050146286054,,9.453212004151665,32.248566172492154,18,
42,520,527,0.09011684913486473,,33.46577610809178,32.248566172492154,19,
43,869,1011,0.1236258013755045,,38.61698652679975,32.248566172492154,19,
44,922,1007,0.07911348977631394,,20.755777380869315,32.248566172492154,18,
45,381,416,0.012706929245125176,,50.480583696249276,32.248566172492154,16,
46,169,357,0.04211950646362661,,5.559356030247727,32.248566172492154,18,
47,1076,1094,0.033725384000385494,,46.50298413542168,32.248566172492154,16,
48,993,994,0.09745030963421764,,7.893670519803919,32.248566172492154,19,
49,956,1039,0.08246573911325972,,22.088109313575593,32.248566172492154,18,
50,214,849,0.13636047149986452,,68.77459864814458,32.248566172492154,21,
51,660,840,0.10508858989343839,,14.010419020340851,32.248566172492154,18,
52,864,880,0.12048102135502403,,22.093187904517762,32.248566172492154,20,
53,50,123,0.06020900276599117,,8.47613248286998,32.248566172492154,18,
54,500,775,0.037058152793614685,,11.686293436716687,32.248566172492154,18,
55,424,870,0.03705815279361446,,27.70360993954238,32.248566172492154,19,
56,292,307,-0.0007378963150145301,,-0.2688105335426856,32.248566172492154,15,
57,170,738,0.19507315640080325,,97.17731733847508,32.248566172492154,21,
58,181,1081,0.061322473040555714,,70.44241265844107,32.248566172492154,19,
59,83,198,0.17112736889090718,,13.391649621778154,32.248566172492154,19,
60,928,1065,0.04124819855897899,,12.616573172602456,32.248566172492154,19,
61,84,829,0.19008311606323147,,99.87826931073893,32.248566172492154,21,
62,479,966,0.057975001478886456,,17.18692253247154,32.248566172492154,17,
63,803,807,0.03705815279361446,,10.095186086189637,32.248566172492154,17,
64,681,841,0.03705815279361446,,11.183905335512106,32.248566172492154,17,
65,655,1033,0.011580285347319696,,19.93490659874367,32.248566172492154,16,
66,907,979,0.11888128335815873,,64.48445762663474,32.248566172492154,21,
67,73,150,0.0978592912371119,,29.637615721993853,32.248566172492154,19,
68,957,1045,0.053833700365788495,,23.446644262460985,32.248566172492154,19,
69,527,1039,0.03705815279361446,,30.10032760318434,32.248566172492154,16,
70,362,382,0.1084978942944046,,57.18154834286419,32.248566172492154,18,
71,437,883,0.03705815279361446,,22.74398039575681,32.248566172492154,19,
72,464,844,0.040580384779843826,,14.508909044936667,32.248566172492154,18,
73,317,573,0.1070445126704005,,5.963259857297239,32.248566172492154,18,
74,328,1036,0.1134776795515906,,140.9077104123738,32.248566172492154,20,
75,180,573,0.171196882421905,,110.02059273537826,32.248566172492154,22,
76,483,780,0.06262489127316773,,20.306450621434674,32.248566172492154,19,
