,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,239,457,0.03229526222075174,,19.787756953283733,32.248566172492154,17,,147,4.2
1,287,1095,0.036871007668412226,,38.777970971766145,32.248566172492154,17,,56,1.6
2,415,657,0.036870895061388964,,27.71775691286299,32.248566172492154,17,,110,3.142857142857143
3,429,479,0.03165466357830038,,16.192664201022456,32.248566172492154,17,,214,6.114285714285714
4,749,1034,0.0316514222593256,,40.18385136761997,32.248566172492154,17,,65,1.8571428571428572
5,305,543,0.03685739471198457,,21.11521729000241,32.248566172492154,17,,124,3.5428571428571427
6,884,1025,0.03468461065562578,,45.308919417648724,32.248566172492154,17,,85,2.4285714285714284
7,953,1015,0.03478565487656038,,41.541823521405114,32.248566172492154,17,,110,3.142857142857143
8,184,496,0.03148151336310545,,25.00213533946726,32.248566172492154,17,,131,3.742857142857143
9,620,650,0.03687292209304793,,15.396898155112563,32.248566172492154,17,,238,6.8
10,761,943,0.031877319188792885,,38.697254729122164,32.248566172492154,17,,79,2.257142857142857
11,115,906,0.036854536818107464,,31.598133256186642,32.248566172492154,17,,92,2.6285714285714286
12,1021,1049,0.034632225050036824,,35.89467034371629,32.248566172492154,17,,150,4.285714285714286
13,524,952,0.031835178775044826,,33.51165492638246,32.248566172492154,17,,70,2.0
14,733,955,0.03186090873920833,,38.10411360620843,32.248566172492154,17,,71,2.0285714285714285
15,484,561,0.03687229894477495,,18.226902846942206,32.248566172492154,17,,179,5.114285714285714
16,863,904,0.031850981430200154,,32.03049366638005,32.248566172492154,17,,148,4.228571428571429
17,454,584,0.036869896642536704,,19.330787451460814,32.248566172492154,17,,149,4.257142857142857
18,483,582,0.03686618119782015,,18.795389115420395,32.248566172492154,17,,161,4.6
19,348,774,0.03687041461248497,,29.750576741020566,32.248566172492154,17,,81,2.3142857142857145
20,1079,1089,0.05806979392506251,,29.90427752032859,32.248566172492154,18,,223,6.371428571428571
21,293,1025,0.036867899967038875,,37.7995933705032,32.248566172492154,17,,60,1.7142857142857142
22,958,1028,0.034735691944984826,,39.663713742695364,32.248566172492154,17,,106,3.0285714285714285
23,698,992,0.03189494522723568,,33.71380500093732,32.248566172492154,17,,67,1.9142857142857144
24,661,782,0.03687283950592146,,21.45780256075209,32.248566172492154,17,,113,3.2285714285714286
25,267,882,0.03686980656229211,,34.692344681978966,32.248566172492154,17,,74,2.1142857142857143
