,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,81,183,0.2945410910759543,0.6207805605341363,55.698855410294215,8.866619193689745,12,0.12891856221935702
1,127,600,0.13977522115686214,0.5837751720530558,20.56916693229752,8.866619193689745,12,0.1007682227544214
2,910,1006,0.04172710618768982,0.5698556496971198,6.590254146634035,8.866619193689745,9,0.07947734085954565
3,827,1001,0.07374679724457156,0.5791307909597014,9.246784589630703,8.866619193689745,9,0.0871085281390974
4,116,815,0.0960077353989659,0.6745597681722618,14.083405399522285,8.866619193689745,12,0.094746733267683
5,264,311,0.04271233591440127,0.4841754099576051,2.8307975718286564,8.866619193689745,11,0.06304534057978117
6,1017,1053,0.0,0.5463115354925672,4.575038756363434,8.866619193689745,8,0.07287258628455742
7,403,480,0.07121813788753739,0.6563048995662963,31.21627238409608,8.866619193689745,13,0.11056619366014234
8,480,802,0.07784228899286005,0.6441107384811571,13.29876573934516,8.866619193689745,12,0.09826705039019297
9,856,1022,0.045664698076649524,0.6154663385606568,6.289105912900058,8.866619193689745,9,0.0786748015359721
10,946,976,0.029702492472513553,0.5667452139251622,5.936779008177827,8.866619193689745,10,0.07779141491526446
11,702,824,0.07139833957349828,0.5590983439493775,9.041842901816521,8.866619193689745,9,0.08530511517010865
12,440,1003,0.1380313331625087,0.6193885885163766,16.216623451702276,8.866619193689745,10,0.10087084198943291
13,361,585,0.13085564053537269,0.624654679299818,13.721223247045643,8.866619193689745,12,0.09194137596275133
14,306,927,0.1741102153235592,0.670063443937462,28.517660326388793,8.866619193689745,11,0.10935266558101198
15,924,958,0.008005808107580004,0.6018838571526858,8.302143320003783,8.866619193689745,9,0.0849727714695635
16,800,919,0.04866923853906857,0.571240835090007,10.61178251492668,8.866619193689745,10,0.08991375322491756
17,486,924,0.1475221396177886,0.6019123749339219,22.489015165640485,8.866619193689745,11,0.10974352689387394
18,944,1009,0.0248722909232153,0.5664662062015958,7.175070257941508,8.866619193689745,10,0.08259952631326735
19,840,983,0.05878292852722877,0.5807857947807161,10.301918777801315,8.866619193689745,9,0.0893660160868577
