,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ORLY,3.0625,3.59375,4.0,6.65625,11.75,11.0625,13.5625,18.155000686645508,12.649999618530273,19.325000762939453,22.610000610351562,32.25,32.18000030517578,32.279998779296875,30.59000015258789,39.2400016784668,60.9900016784668,80.94999694824219,90.66000366210938,128.4199981689453,192.86000061035156,248.4499969482422,280.0,241.33999633789062,335.82000732421875,438.5,454.2200012207031
FL,15.25,12.625,21.75,20.375,6.6875,7.0625,15.3125,15.699999809265137,10.399999618530273,23.850000381469727,27.200000762939453,23.920000076293945,22.059999465942383,13.579999923706055,7.429999828338623,11.289999961853027,19.729999542236328,24.290000915527344,32.66999816894531,41.36000061035156,56.43000030517578,64.45999908447266,71.44000244140625,47.45000076293945,52.41999816894531,39.2400016784668,40.38999938964844
COST,6.4375,7.625,12.625,22.3125,36.21875,45.53125,40.0,44.20000076293945,28.239999771118164,37.189998626708984,48.2400016784668,49.75,53.349998474121094,69.62999725341797,52.439998626708984,59.130001068115234,72.75,84.27999877929688,100.5999984741211,118.70999908447266,141.8699951171875,159.80999755859375,160.64999389648438,187.22999572753906,200.5,294.05999755859375,377.42999267578125
HD,10.194443702697754,10.555556297302246,11.166666984558105,19.666667938232422,40.25,68.625,45.6875,51.0099983215332,24.209999084472656,35.75,42.9900016784668,40.38999938964844,41.29999923706055,27.1299991607666,23.06999969482422,29.149999618530273,35.20000076293945,42.40999984741211,63.56999969482422,82.11000061035156,105.16000366210938,130.11000061035156,135.10000610351562,190.2100067138672,169.7100067138672,219.0800018310547,266.010009765625
LOW,4.34375,4.203125,4.484375,5.953125,12.875,14.703125,11.28125,23.010000228881836,18.950000762939453,27.924999237060547,28.989999771118164,33.30500030517578,31.209999084472656,22.780000686645508,21.5,23.510000228881836,25.209999084472656,25.65999984741211,36.130001068115234,49.54999923706055,69.0,74.69000244140625,71.70999908447266,93.0199966430664,91.22000122070312,120.05000305175781,160.77000427246094
GPS,4.518518924713135,6.240740776062012,9.0,15.63888931274414,38.5,44.375,25.3125,13.84000015258789,15.600000381469727,23.229999542236328,21.0,17.780000686645508,19.81999969482422,21.229999542236328,13.710000038146973,20.729999542236328,22.31999969482422,18.799999237060547,31.56999969482422,39.09000015258789,42.369998931884766,24.1200008392334,22.719999313354492,34.150001525878906,25.299999237060547,17.700000762939453,20.020000457763672
BBY,3.4861109256744385,1.805556058883667,1.180556058883667,4.1041669845581055,13.722222328186035,25.666667938232422,13.166666984558105,32.79999923706055,16.333332061767578,34.85333251953125,39.93333435058594,43.75,49.150001525878906,52.720001220703125,27.959999084472656,39.84000015258789,34.099998474121094,23.700000762939453,12.140000343322754,39.75,39.16999816894531,29.84000015258789,43.04999923706055,68.26000213623047,52.189998626708984,88.38999938964844,99.62000274658203
WBA,5.4375,7.46875,10.0,15.8125,29.0,28.5,40.5,33.599998474121094,29.600000381469727,36.43000030517578,39.75,44.630001068115234,45.88999938964844,37.9900016784668,24.649999618530273,37.0099983215332,39.13999938964844,33.45000076293945,37.86000061035156,57.20000076293945,76.11000061035156,83.69999694824219,83.0999984741211,73.27999877929688,67.19999694824219,59.279998779296875,40.16999816894531
KSS,4.96875,6.625,9.84375,17.0625,30.71875,35.53125,60.75,70.44000244140625,56.150001525878906,44.939998626708984,49.900001525878906,49.33000183105469,68.19999694824219,45.86000061035156,36.31999969482422,54.5,54.61000061035156,49.72999954223633,43.45000076293945,56.7599983215332,61.150001525878906,46.90999984741211,49.75,54.790000915527344,65.2699966430664,51.220001220703125,40.7599983215332
NKE,2.3125,4.296875,7.46875,4.90625,5.070312976837158,6.164062976837158,6.84375,7.039999961853027,5.571249961853027,8.587499618530273,11.324999809265137,10.848750114440918,12.25,16.079999923706055,12.737500190734863,16.514999389648438,21.457500457763672,24.342500686645508,26.200000762939453,39.07500076293945,48.275001525878906,61.11000061035156,51.9900016784668,62.849998474121094,72.79000091552734,101.36000061035156,142.85000610351562
JWN,10.5,10.0625,8.875,14.96875,17.46875,13.09375,9.09375,10.039999961853027,9.574999809265137,17.325000762939453,23.364999771118164,37.58000183105469,50.0,36.75,13.34000015258789,38.130001068115234,42.72999954223633,50.52000045776367,53.689998626708984,61.66999816894531,79.66000366210938,49.810001373291016,48.2400016784668,48.7599983215332,45.959999084472656,41.08000183105469,31.31999969482422
AAPL,0.3470979928970337,0.2879459857940674,0.18861599266529083,0.12165199965238571,0.376116007566452,0.9363840222358704,0.265625,0.39375001192092896,0.256428986787796,0.38482099771499634,1.1567859649658203,2.5850000381469727,3.0817859172821045,7.116786003112793,3.067142963409424,7.622499942779541,11.630000114440918,14.621429443359375,19.779285430908203,19.845714569091797,27.84749984741211,25.65250015258789,28.950000762939453,42.540000915527344,38.72249984741211,74.05999755859375,133.52000427246094
HPQ,5.669561862945557,9.508400917053223,11.41008186340332,14.163261413574219,15.525657653808594,25.828792572021484,14.3335599899292,9.355132102966309,8.00635814666748,10.440508842468262,9.591280937194824,13.297002792358398,18.64214324951172,22.92461395263672,16.46230697631836,23.405994415283203,19.173479080200195,11.952770233154297,6.7347869873046875,12.661216735839844,18.19255256652832,11.579999923706055,14.949999809265137,21.18000030517578,20.030000686645508,20.68000030517578,24.700000762939453
M,9.6875,13.75,16.875,21.75,22.1875,25.125,17.5,20.5,14.550000190734863,23.56999969482422,28.93000030517578,33.275001525878906,38.20000076293945,25.8799991607666,10.4399995803833,16.899999618530273,25.5,32.869998931884766,39.54999923706055,53.16999816894531,66.33000183105469,34.45000076293945,36.130001068115234,25.809999465942383,29.09000015258789,17.18000030517578,11.329999923706055
RF,12.55467414855957,17.465171813964844,20.907581329345703,34.01911544799805,32.70289993286133,20.451967239379883,22.223796844482422,24.28316879272461,27.377288818359375,30.131216049194336,35.5,34.20000076293945,37.79999923706055,23.770000457763672,8.119999885559082,5.360000133514404,7.159999847412109,4.389999866485596,7.320000171661377,9.859999656677246,10.649999618530273,9.350000381469727,14.5600004196167,17.389999389648438,13.15999984741211,17.260000228881836,16.270000457763672
COF,5.375,7.9166669845581055,12.0,18.0625,38.66666793823242,48.125,64.625,54.150001525878906,30.200000762939453,61.33000183105469,84.05000305175781,86.4000015258789,77.06999969482422,47.7599983215332,31.799999237060547,38.65999984741211,43.0099983215332,43.38999938964844,59.529998779296875,76.61000061035156,82.79000091552734,70.7699966430664,88.55000305175781,100.08000183105469,74.48999786376953,103.41000366210938,99.7300033569336
USB,4.027778148651123,6.597221851348877,10.180556297302246,19.041667938232422,31.083332061767578,20.9375,23.4375,20.780000686645508,21.530000686645508,29.579999923706055,31.200000762939453,30.049999237060547,35.61000061035156,31.790000915527344,25.040000915527344,22.56999969482422,27.200000762939453,27.610000610351562,32.459999084472656,39.869998931884766,45.43000030517578,41.75,51.619998931884766,54.04999923706055,45.220001220703125,59.470001220703125,46.689998626708984
FITB,9.333333015441895,14.419753074645996,18.740741729736328,36.16666793823242,47.41666793823242,48.5,59.1875,61.15999984741211,58.720001220703125,58.88999938964844,47.619998931884766,38.040000915527344,41.04999923706055,24.950000762939453,8.239999771118164,9.880000114440918,14.829999923706055,13.0,15.460000038146973,20.940000534057617,20.40999984741211,19.479999542236328,27.329999923706055,31.190000534057617,23.170000076293945,30.950000762939453,27.760000228881836
HUM,22.625,27.25,19.125,21.0,18.375,8.3125,14.5,11.800000190734863,10.100000381469727,23.049999237060547,29.860000610351562,54.90999984741211,55.459999084472656,76.51000213623047,37.380001068115234,44.43000030517578,55.060001373291016,89.20999908447266,69.73999786376953,102.76000213623047,144.9499969482422,177.6699981689453,202.8699951171875,249.36000061035156,283.30999755859375,367.1600036621094,417.82000732421875
